block	first_line	last_line	terminator	instructions	valu	vmem	lds	salu	waitcnt	longest_valu_chain	max_vmem_in_flight	max_lgkm_in_flight	vmcnt_arguments	lgkmcnt_arguments
1	2	9	s_cbranch_scc0	8	0	0	0	7	1	0	0	1	-	0
2	11	13	s_cbranch_scc0	3	0	0	0	3	0	0	0	0	-	-
3	15	78	s_branch	64	15	0	0	49	0	5	0	0	-	-
4	80	80	-	1	0	0	0	1	0	0	0	0	-	-
5	82	96	s_cbranch_execz	15	11	0	0	4	0	5	0	0	-	-
6	98	121	-	24	6	0	0	18	0	1	0	0	-	-
7	124	506	-	383	349	16	0	4	14	24	10	0	9,8,6,5,4,3,5,4,3,0,2,1,0	0
8	508	509	s_cbranch_scc1	2	0	0	0	2	0	0	0	0	-	-
9	511	511	-	1	0	0	0	1	0	0	0	0	-	-
10	513	517	-	5	4	0	0	1	0	1	0	0	-	-
11	519	583	-	65	32	0	0	33	0	8	0	0	-	-
12	585	586	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
13	588	600	s_branch	13	2	0	0	9	2	2	0	1	-	0,0
14	602	603	-	2	1	0	0	1	0	1	0	0	-	-
15	605	606	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
16	608	619	s_branch	12	1	0	0	9	2	1	0	1	-	0,0
17	621	621	-	1	0	0	0	1	0	0	0	0	-	-
18	623	632	s_cbranch_scc0	10	0	1	0	8	1	0	0	1	-	0
19	634	642	s_branch	9	2	0	0	5	2	2	0	1	-	0,0
20	644	645	-	2	1	0	0	1	0	1	0	0	-	-
21	647	648	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
22	650	657	s_branch	8	1	0	0	5	2	1	0	1	-	0,0
23	659	659	-	1	0	0	0	1	0	0	0	0	-	-
24	661	664	s_cbranch_scc0	4	0	1	0	3	0	0	0	0	-	-
25	666	674	s_branch	9	2	0	0	5	2	2	0	1	-	0,0
26	676	677	-	2	1	0	0	1	0	1	0	0	-	-
27	679	680	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
28	682	689	s_branch	8	1	0	0	5	2	1	0	1	-	0,0
29	691	691	-	1	0	0	0	1	0	0	0	0	-	-
30	693	696	s_cbranch_scc0	4	0	1	0	3	0	0	0	0	-	-
31	698	705	s_branch	8	2	0	0	4	2	2	0	1	-	0,0
32	707	707	-	1	1	0	0	0	0	1	0	0	-	-
33	709	710	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
34	712	717	-	6	1	0	0	3	2	1	0	1	-	0,0
