op	name	calls_per_block	total_us	mean_us
op	MUL_MAT	181.000	13140169.5	1152.343
op	MUL_MAT_ADD	30.000	2556167.3	1352.469
op	RMS_NORM_MUL	79.000	2163155.0	434.630
op	GET_ROWS	38.000	1139106.3	475.817
op	MUL	42.000	804837.8	304.172
op	CPY	36.000	759483.0	334.869
op	ADD	36.000	630059.0	277.804
op	L2_NORM	36.000	620438.0	273.562
op	SIGMOID	24.000	586337.0	387.789
op	GLU	24.000	530654.4	350.962
op	GATED_DELTA_NET	18.000	463064.0	408.346
op	SILU	18.000	417181.7	367.885
op	SOFTPLUS	18.000	412522.8	363.777
op	ROPE	12.000	399977.6	529.071
op	SET_ROWS	12.000	395151.0	522.686
op	CONCAT	18.000	370759.2	326.948
op	SSM_CONV_SILU	18.000	331413.1	292.251
op	FLASH_ATTN_EXT	6.000	233319.8	617.248
op	CONT	6.000	198877.4	526.131
blocks	64	ops=19
decode_blocks	63
prefill_blocks	1
unknown_blocks	0
