# clock=CLOCK_MONOTONIC period_ns=20000000 drm_device=/sys/class/drm/card1/device hwmon=/sys/class/hwmon/hwmon6
# interpretation: pp_dpm_sclk_selected_mhz is the selected graphics clock step; pp_dpm_mclk_surface_mhz is the pp_dpm_mclk sysfs surface, which on SMU10 is a fabric-clock state rather than the trained DRAM speed; pp_dpm_fclk_surface_mhz is the pp_dpm_fclk sysfs surface
# sampler_pid=3872558 nice=19 cpu_affinity=0,1 sampler_format=native-fresh-v1
monotonic_ns	pp_dpm_sclk_selected_mhz	pp_dpm_mclk_surface_mhz	pp_dpm_fclk_surface_mhz	gpu_busy_percent	temp1_millidegrees	sample_cost_ns
810160548133827	1100	933	unavailable	99	67000	465123
810160568149240	1100	933	unavailable	99	67000	1121745
810160588138803	1100	933	unavailable	99	67000	958359
810160608108710	1100	933	unavailable	99	67000	529233
810160628148939	1100	933	unavailable	99	67000	1224428
810160648123194	1100	933	unavailable	99	67000	1169024
810160668560056	1100	933	unavailable	99	67000	665409
810160688155401	1100	933	unavailable	99	67000	590868
810160708160052	1100	933	unavailable	99	67000	1212706
810160728171347	1100	933	unavailable	99	67000	705023
810160748156031	1100	933	unavailable	99	67000	703170
810160768431372	1100	933	unavailable	99	67000	1030313
810160788158553	1100	933	unavailable	99	67000	873910
810160808117699	1100	933	unavailable	99	67000	407946
810160828135196	1100	933	unavailable	99	67000	412885
810160850064911	1100	933	unavailable	99	67000	598663
810160868109975	1100	933	unavailable	99	67000	526137
810160888108626	1100	933	unavailable	99	67000	419848
810160911020313	1100	933	unavailable	99	67000	1028310
810160928120785	1100	933	unavailable	98	68000	528011
810160948116871	1100	933	unavailable	98	68000	491973
810160968102087	1100	933	unavailable	98	68000	1174123
810160988101970	1100	933	unavailable	98	68000	644199
810161008102043	1100	933	unavailable	99	68000	448181
810161028116103	1100	933	unavailable	99	68000	1168563
810161048110376	1100	933	unavailable	99	68000	808046
810161068101322	1100	933	unavailable	99	68000	448362
810161088128436	1100	933	unavailable	99	68000	1129770
810161108135412	1100	933	unavailable	99	68000	959291
810161128109507	1100	933	unavailable	99	68000	516819
810161148111434	1100	933	unavailable	99	68000	446087
810161168160399	1100	933	unavailable	99	68000	1072984
810161188145505	1100	933	unavailable	99	68000	551835
810161208115922	1100	933	unavailable	99	68000	479209
810161228150771	1100	933	unavailable	99	68000	1169905
810161248101091	1100	933	unavailable	99	68000	697018
810161268098309	1100	933	unavailable	99	68000	422352
810161288122077	1100	933	unavailable	99	68000	1162321
810161308101872	1100	933	unavailable	99	68000	791295
810161328112365	1100	933	unavailable	99	68000	446729
810161348094385	1100	933	unavailable	99	68000	402335
810161368419428	1100	933	unavailable	99	68000	973737
810161388101594	1100	933	unavailable	99	68000	473068
810161408150980	1100	933	unavailable	99	68000	1216403
810161428139552	1100	933	unavailable	99	68000	1045562
810161448112745	1100	933	unavailable	99	68000	597942
810161468118509	1100	933	unavailable	99	68000	417844
810161488109957	1100	933	unavailable	99	68000	1048287
810161508110431	1100	933	unavailable	99	68000	672191
810161528105334	1100	933	unavailable	98	68000	334258
810161548094016	1100	933	unavailable	98	68000	271460
810161568113777	1100	933	unavailable	98	68000	919946
810161588098521	1100	933	unavailable	98	68000	358704
810161608098645	1100	933	unavailable	99	68000	440386
810161628115760	1100	933	unavailable	99	68000	980240
810161648103671	1100	933	unavailable	99	68000	466014
810161668100729	1100	933	unavailable	99	68000	447660
810161688129445	1100	933	unavailable	99	68000	1071782
810161708104532	1100	933	unavailable	99	68000	554510
810161728115205	1100	933	unavailable	99	68000	478388
810161748113074	1100	933	unavailable	99	68000	1233795
810161768106364	1100	933	unavailable	99	68000	691027
810161788107009	1100	933	unavailable	99	68000	435908
810161808110268	1100	933	unavailable	99	68000	1157662
810161828113818	1100	933	unavailable	99	68000	816743
810161848132076	1100	933	unavailable	99	68000	464551
810161868131377	1100	933	unavailable	99	68000	1106056
810161888641258	1100	933	unavailable	99	68000	623730
810161908116836	1100	933	unavailable	99	68000	563568
810161928111761	1100	933	unavailable	99	68000	455554
810161948327208	1100	933	unavailable	99	68000	931639
810161968103512	1100	933	unavailable	99	68000	556013
810161988134613	1100	933	unavailable	99	68000	464963
810162008127042	1100	933	unavailable	99	68000	1173863
810162028106817	1100	933	unavailable	99	68000	672232
810162048104396	1100	933	unavailable	99	68000	457298
810162068118055	1100	933	unavailable	99	68000	1138617
810162088108610	1100	933	unavailable	99	68000	756811
810162108376296	1100	933	unavailable	99	68000	416271
810162128126771	1100	933	unavailable	98	68000	1342990
810162148105324	1100	933	unavailable	98	68000	1026987
810162168104004	1100	933	unavailable	98	68000	478569
810162188109839	1100	933	unavailable	98	68000	543069
810162208101607	1100	933	unavailable	99	68000	1036895
810162228103333	1100	933	unavailable	99	68000	555683
810162248112845	1100	933	unavailable	99	68000	551985
810162268109330	1100	933	unavailable	99	68000	1149698
810162288118962	1100	933	unavailable	99	68000	695936
