slot	arm	server_sha256	predicted_n	predicted_ms	tok_s	census_rows	sidecar	ownership	status
0	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6582.695	9.571	-	off	-	completed
1	P-nosidecar	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6569.190	9.590	-	off	-	completed
2	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6648.945	9.475	-	on	-	completed
3	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6559.716	9.604	-	on	-	completed
4	P-nosidecar	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6622.280	9.513	-	off	-	completed
5	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6700.659	9.402	-	on	-	completed
6	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6543.455	9.628	-	on	-	completed
7	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6682.637	9.427	-	on	-	completed
8	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6615.961	9.522	-	on	-	completed
9	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6610.366	9.530	-	on	-	completed
10	I1	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6737.126	9.351	43608	on	conclusive	completed
11	I1	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6633.122	9.498	43608	on	conclusive	completed
12	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6597.374	9.549	-	on	-	completed
13	S	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	26794.783	2.351	64	on	-	completed
