pair	control	outer	inner	first_outer	first_inner	first_delta	second_outer	second_inner	second_delta	bound	verdict	detail
1	sidecar	P-nosidecar	P	9.590	9.475	-0.0120	9.513	9.604	+0.0096	0.0065	refuted	exceeds bound=0.0065 first=-0.0120 second=+0.0096
2	compile	P	I0	9.402	9.628	+0.0240	9.522	9.427	-0.0100	0.0065	refuted	exceeds bound=0.0065 first=+0.0240 second=-0.0100
3	collect	I0	I1	9.530	9.351	-0.0188	9.549	9.498	-0.0053	0.02	accepted	-
