pass	nice_observed	model	streamed_bytes	decode_tok_s	prefill_tok_s	achieved_gb_s	mclk_modal	temp_c_max	load_mean	load_max
forward	19	Qwen3.5-0.8B-Q8_0	800881920	19.20	162.68	15.38	933	76.0	4.35	4.54
forward	19	LFM2.5-VL-1.6B-Q4_K_M	728509440	16.20	94.38	11.80	933	80.0	4.25	4.37
forward	19	Qwen3.5-2B-Q4_K_M	1320574208	9.64	58.59	12.73	933	86.0	3.97	4.15
forward	19	Qwen3.8-2B-Q4_K_M	1263435008	9.51	64.47	12.02	933	88.0	3.90	4.12
forward	19	Ministral-3-3B-Instruct-Q4_K_M	2138615808	4.69	31.37	10.03	933	87.0	4.01	4.59
forward	19	Qwen3.5-4B-Q4_K_M	2729969664	3.11	21.96	8.49	933	88.0	3.52	3.88
forward	19	Qwen3.8-4B-Q4_K_M	2697836544	3.33	22.36	8.98	933	88.0	3.50	3.75
reverse	19	Qwen3.8-4B-Q4_K_M	2697836544	3.34	22.43	9.01	933	87.0	3.69	3.95
reverse	19	Qwen3.5-4B-Q4_K_M	2729969664	3.10	21.79	8.46	933	87.0	3.61	4.06
reverse	19	Ministral-3-3B-Instruct-Q4_K_M	2138615808	4.62	30.90	9.88	933	86.0	3.81	4.41
reverse	19	Qwen3.8-2B-Q4_K_M	1263435008	8.87	63.23	11.21	933	88.0	4.11	4.24
reverse	19	Qwen3.5-2B-Q4_K_M	1320574208	9.21	62.85	12.16	933	89.0	3.91	4.14
reverse	19	LFM2.5-VL-1.6B-Q4_K_M	728509440	15.53	91.92	11.31	933	85.0	3.92	4.06
reverse	19	Qwen3.5-0.8B-Q8_0	800881920	17.86	160.70	14.30	933	87.0	3.82	3.94
