arm	ctx_checkpoints	turn	prompt_n	prompt_ms	predicted_n	predicted_ms	prompt_tok_s	decode_tok_s	prefill_saved_ms
1	0	1	30725	3251078.738	32	17763.696	9.451	1.801	-
1	0	2	30748	3402090.365	32	19801.329	9.038	1.616	-151011.627
2	2	1	30725	3342184.218	32	18357.923	9.193	1.743	-
2	2	2	28	6134.273	32	18039.547	4.565	1.774	3336049.945
3	2	1	30725	3501195.833	32	21763.386	8.776	1.470	-
3	2	2	28	7985.244	32	21964.041	3.506	1.457	3493210.589
