slot	arm	phase	begin_ns	end_ns	note
0	W	launch	1788358625587534670	1788358634477178813	-
0	W	request	1788358634477178813	1788358641748266679	-
0	W	teardown	1788358641748266679	1788358642545917662	-
0	W	analysis	1788358642545917662	1788358642666293416	-
0	W	cooldown	1788358642667198232	1788358647002227393	quiescence=reached elapsed_ms=4319
1	P-nosidecar	launch	1788358647006997283	1788358655920202603	-
1	P-nosidecar	request	1788358655920202603	1788358663284950657	-
1	P-nosidecar	teardown	1788358663284950657	1788358664068307666	-
1	P-nosidecar	analysis	1788358664068307666	1788358664153916937	-
1	P-nosidecar	cooldown	1788358664154785936	1788358668416202078	quiescence=reached elapsed_ms=4247
2	P	launch	1788358668420946211	1788358677331697977	-
2	P	request	1788358677331697977	1788358684629010846	-
2	P	teardown	1788358684629010846	1788358685437734994	-
2	P	analysis	1788358685437734994	1788358685581196424	-
2	P	cooldown	1788358685582013646	1788358690722317329	quiescence=reached elapsed_ms=5131
3	P	launch	1788358690728205526	1788358699692925381	-
3	P	request	1788358699692925381	1788358707076895015	-
3	P	teardown	1788358707076895015	1788358707878174547	-
3	P	analysis	1788358707878174547	1788358708003002083	-
3	P	cooldown	1788358708003886962	1788358712851432215	quiescence=reached elapsed_ms=4839
4	P-nosidecar	launch	1788358712855637127	1788358721682300279	-
4	P-nosidecar	request	1788358721682300279	1788358728912208845	-
4	P-nosidecar	teardown	1788358728912208845	1788358729750296101	-
4	P-nosidecar	analysis	1788358729750296101	1788358729834678043	-
4	P-nosidecar	cooldown	1788358729835455441	1788358736250126088	quiescence=reached elapsed_ms=6405
5	P-nosidecar	launch	1788358736254992230	1788358745144326460	-
5	P-nosidecar	request	1788358745144326460	1788358752465745288	-
5	P-nosidecar	teardown	1788358752465745288	1788358753275367743	-
5	P-nosidecar	analysis	1788358753275367743	1788358753363102053	-
5	P-nosidecar	cooldown	1788358753363980390	1788358758183393088	quiescence=reached elapsed_ms=4806
6	P	launch	1788358758188359147	1788358767265877166	-
