slot	arm	tok_s	sclk_mode_mhz	mclk_mode_mhz	temp_mean_c	temp_max_c	busy_mean_percent	samples	sclk_share
2	P	9.551	1100	1067	74.0	76.0	94.12	726	0.6529
3	P	9.414	1100	1067	75.0	77.0	93.19	735	0.6803
6	P	9.438	1100	1067	75.5	78.0	93.45	735	0.5782
7	P	9.395	1100	1067	76.2	79.0	92.88	743	0.5518
9	P	9.079	1100	1067	75.6	80.0	93.69	759	0.2503
10	I0	8.226	914	1067	73.6	78.0	94.56	822	0.1338
11	I0	7.691	800	1067	72.6	77.0	94.54	886	0.1242
12	P	7.523	800	1067	71.6	76.0	94.45	912	0.1206
13	P	7.152	750	1067	71.6	77.0	95.60	957	0.1567
14	I0	7.186	762	1067	71.3	76.0	95.60	946	0.1374
15	I0	7.327	825	1067	71.3	76.0	95.47	931	0.1396
16	P	6.999	787	1067	71.1	75.0	94.41	970	0.1237
17	I0	7.273	837	1067	71.2	75.0	94.35	934	0.1285
18	I1	7.346	825	1067	71.1	76.0	94.96	929	0.1615
19	I1	7.296	787	1067	71.2	76.0	95.09	933	0.1608
20	I0	7.080	762	1067	71.1	76.0	95.59	959	0.1460
21	I0	7.177	800	1067	71.2	76.0	95.44	951	0.1441
22	I1	7.043	775	1067	71.1	76.0	95.34	967	0.1448
23	I1	7.287	812	1067	74.8	82.0	95.07	935	0.1390
24	I0	7.259	825	1067	71.2	76.0	94.97	943	0.1485
25	S	2.365	400	1067	73.4	81.0	56.34	2774	0.4016
