monitor_start_utc=2026-09-04T04:12:50Z server_pid=2928545 sample_seconds=1 profile=low-async latency_watchdog_pid=2929119 kernel_hazard_watchdog_pid=2929128 guard_affinity=1 guard_nice=0
threshold_mem_available_kib=4194304 threshold_swapin_bytes_per_sample=67108864 report_temperature_millicelsius=90000
threshold_maximum_gpu_busy_percent=100 enforcement=terminate_on_sample_above_threshold
sample_utc=2026-09-04T04:12:50Z affinity=0 nice=19 rss_kib=179040 peak_rss_kib=179040 mem_available_kib=26027048 swapin_bytes=0 max_temp_millicelsius=74000 gpu_busy_percent=11 gtt_used_bytes=1202749440 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 400Mhz *;2: 1100Mhz ; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:12:51Z affinity=0 nice=19 rss_kib=179672 peak_rss_kib=179672 mem_available_kib=26032812 swapin_bytes=0 max_temp_millicelsius=73000 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:12:52Z affinity=0 nice=19 rss_kib=182720 peak_rss_kib=182720 mem_available_kib=26030780 swapin_bytes=0 max_temp_millicelsius=72000 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:12:54Z affinity=0 nice=19 rss_kib=182720 peak_rss_kib=182720 mem_available_kib=26030840 swapin_bytes=0 max_temp_millicelsius=71000 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:12:55Z affinity=0 nice=19 rss_kib=182720 peak_rss_kib=182720 mem_available_kib=26030388 swapin_bytes=0 max_temp_millicelsius=71125 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:12:56Z affinity=0 nice=19 rss_kib=182720 peak_rss_kib=182720 mem_available_kib=26030084 swapin_bytes=0 max_temp_millicelsius=71375 gpu_busy_percent=97 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 1083Mhz *;2: 1100Mhz ; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:12:57Z affinity=0 nice=19 rss_kib=182720 peak_rss_kib=182720 mem_available_kib=26029396 swapin_bytes=0 max_temp_millicelsius=81125 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:12:58Z affinity=0 nice=19 rss_kib=182720 peak_rss_kib=182720 mem_available_kib=26028388 swapin_bytes=0 max_temp_millicelsius=81125 gpu_busy_percent=97 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:12:59Z affinity=0 nice=19 rss_kib=182720 peak_rss_kib=182720 mem_available_kib=26030760 swapin_bytes=0 max_temp_millicelsius=81125 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:13:00Z affinity=0 nice=19 rss_kib=182720 peak_rss_kib=182720 mem_available_kib=26029120 swapin_bytes=0 max_temp_millicelsius=81125 gpu_busy_percent=98 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:13:01Z affinity=0 nice=19 rss_kib=182720 peak_rss_kib=182720 mem_available_kib=26029204 swapin_bytes=0 max_temp_millicelsius=81750 gpu_busy_percent=98 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
