slot	arm	server_sha256	predicted_n	predicted_ms	tok_s	census_rows	sidecar	ownership	status	sclk_mode_mhz	sclk_share	regime_delta	clock_invariant	below_required_fraction
0a	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	9849.194	6.396	-	refused	-	completed	1100	1.0000	-	held	0.0000
1	P-nosidecar	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6456.098	9.758	-	off	-	completed	-	-	-	-	-
2	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6435.848	9.789	-	on	-	completed	1100	1.0000	-	held	0.0000
3	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6530.009	9.648	-	refused	-	failed	1100	1.0000	-	violated	0.0000
4	P-nosidecar	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6649.064	9.475	-	off	-	completed	-	-	-	-	-
5	P-nosidecar	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6644.604	9.481	-	off	-	completed	-	-	-	-	-
6	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	7300.444	8.630	-	refused	-	failed	1100	1.0000	-	held	0.0000
7	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6612.582	9.527	-	on	-	completed	1100	1.0000	-	held	0.0000
8	P-nosidecar	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6495.276	9.699	-	off	-	completed	-	-	-	-	-
9	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6798.138	9.267	-	on	-	completed	1100	1.0000	-	held	0.0000
10	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6583.288	9.570	-	refused	-	failed	1100	1.0000	-	violated	0.0000
11	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6443.136	9.778	-	on	-	completed	1100	1.0000	-	held	0.0000
12	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6451.193	9.766	-	on	-	completed	1100	1.0000	-	held	0.0000
13	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6410.196	9.828	-	on	-	completed	1100	1.0000	-	held	0.0000
14	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6452.716	9.763	-	on	-	completed	1100	1.0000	-	held	0.0000
15	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6430.871	9.796	-	on	-	completed	1100	1.0000	-	held	0.0000
16	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6689.329	9.418	-	on	-	completed	1100	1.0000	-	held	0.0000
17	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	7009.088	8.988	-	on	-	completed	1100	1.0000	-	held	0.0000
18	I1	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6588.341	9.562	43608	on	conclusive	completed	1100	1.0000	-	held	0.0000
19	I1	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6500.512	9.692	43608	on	conclusive	completed	1100	1.0000	-	held	0.0000
20	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6634.753	9.495	-	on	-	completed	1100	1.0000	-	held	0.0000
21	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6566.717	9.594	-	on	-	completed	1100	1.0000	-	held	0.0000
22	I1	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6598.409	9.548	43608	on	conclusive	completed	1100	1.0000	-	held	0.0000
23	I1	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6732.147	9.358	43608	on	conclusive	completed	1100	1.0000	-	held	0.0000
24	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6987.647	9.016	-	on	-	completed	1100	1.0000	-	held	0.0000
25	S	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	20961.011	3.006	64	refused	-	failed	1100	1.0000	-	violated	0.0000
