slot	arm	tok_s	sclk_mode_mhz	mclk_mode_mhz	temp_mean_c	temp_max_c	busy_mean_percent	samples	sclk_share
0a	W	6.396	1100	933	81.8	88.0	70.88	474	1.0000
02	P	9.789	1100	933	68.8	71.0	94.81	354	1.0000
03	P	9.648	1100	933	68.8	70.0	94.47	358	1.0000
06	P	8.630	1100	933	74.5	76.0	86.48	395	1.0000
07	P	9.527	1100	933	75.3	80.0	92.95	362	1.0000
09	P	9.267	1100	933	73.0	75.0	93.23	373	1.0000
10	I0	9.570	1100	933	75.3	79.0	93.44	360	1.0000
11	I0	9.778	1100	933	70.1	72.0	94.89	354	1.0000
12	P	9.766	1100	933	68.9	71.0	94.78	354	1.0000
13	P	9.828	1100	933	69.0	70.0	95.17	352	1.0000
14	I0	9.763	1100	933	68.2	70.0	94.63	354	1.0000
15	I0	9.796	1100	933	68.5	70.0	94.86	354	1.0000
16	P	9.418	1100	933	68.6	71.0	92.91	366	1.0000
17	I0	8.988	1100	1067	77.6	81.0	89.27	385	1.0000
18	I1	9.562	1100	933	76.6	79.0	93.82	361	1.0000
19	I1	9.692	1100	933	69.7	71.0	94.88	357	1.0000
20	I0	9.495	1100	933	71.2	74.0	93.09	365	1.0000
21	I0	9.594	1100	933	76.4	78.0	93.43	362	1.0000
22	I1	9.548	1100	933	73.3	74.0	94.94	362	1.0000
23	I1	9.358	1100	933	72.0	74.0	92.83	368	1.0000
24	I0	9.016	1100	933	73.6	75.0	90.14	381	1.0000
25	S	3.006	1100	933	72.8	75.0	41.21	1092	1.0000
