variant	spec_constants	block_size_note	sha256	bytes
mul_mat_vec_q8_0_f32_f32	0:64,1:2,2:1	QUANT_K=32, not 256	a52c7af09feadfafdbb4c265bb0a9e5be552734b20398da18874bd7ccb3ebc5f	22828
mul_mat_vec_q8_0_f32_f32_subgroup	0:64,1:2,2:1	QUANT_K=32, not 256	036a450cfcb73c96e779b9d7dfba24ff9e5becc4f0d295ffa36512e5ac38818c	22972
