mnemonic	int24	extension	production
v_add_u32	314	160	76
v_mac_f32	14	14	248
v_mul_u32_u24	224	0	0
v_mul_i32_i24	0	224	0
v_and_b32	170	114	54
v_lshrrev_b32	168	168	32
v_add3_u32	126	98	0
v_lshlrev_b32	106	92	16
v_lshl_add_u32	84	84	16
s_waitcnt	80	65	82
v_add_f32	16	16	64
s_add_u32	30	30	62
v_cndmask_b32	60	60	8
v_xor_b32	56	0	0
v_cvt_f32_f16	56	56	16
v_mul_f32	48	48	54
s_nop	13	12	49
v_cvt_f32_ubyte1	0	0	48
v_cvt_f32_ubyte2	0	0	48
v_cvt_f32_ubyte0	28	28	48
v_cvt_f32_ubyte3	0	0	48
s_mov_b32	37	27	43
v_bfe_u32	42	42	2
s_mul_i32	31	31	33
s_cbranch_scc0	17	17	32
v_mov_b32	16	20	28
v_and_or_b32	28	28	8
s_sub_i32	21	21	21
s_cmp_ge_u32	19	19	19
s_branch	6	6	18
s_cmp_lg_i32	9	9	18
s_load_dwordx4	16	16	18
s_buffer_load_dword	4	4	16
v_cmp_gt_u32	16	16	0
v_alignbyte_b32	0	0	16
s_mov_b64	13	13	15
v_mad_f32	14	14	8
v_sub_u32	14	0	2
v_cvt_f32_i32	14	14	0
s_movk_i32	12	12	8
s_mul_hi_u32	12	12	12
s_cmp_lt_u32	1	1	10
s_lshl_b32	8	8	7
v_readlane_b32	2	2	8
v_lshl_or_b32	0	0	8
s_or_saveexec_b64	2	2	8
s_cselect_b32	8	8	8
v_cvt_f32_u32	6	6	6
v_readfirstlane_b32	6	6	6
s_lshr_b32	6	6	4
v_rcp_f32	6	6	6
v_cvt_u32_f32	6	6	6
s_cbranch_execz	5	5	1
s_bitcmp1_b32	4	4	4
s_load_dwordx8	3	3	2
s_andn2_b64	2	2	2
s_and_b32	2	2	0
v_cmpx_gt_u32	2	2	0
v_cmpx_le_u32	2	2	2
v_cmpx_ne_i32	2	2	0
s_load_dword	1	1	1
s_endpgm	1	1	1
s_cselect_b64	1	1	1
s_cbranch_scc1	1	1	1
s_and_b64	1	1	1
