monotonic_ns	tctl_millidegrees	edge_millidegrees	freq1_hz
503370599367280	64000	64000	1100000000
503371599844680	64375	64000	1100000000
503372600321893	64750	64000	1100000000
503373600787346	63500	63000	1100000000
503374601272651	63125	63000	1100000000
503375601816592	63375	63000	1100000000
503376604590303	63125	63000	1100000000
503377605801340	61625	61000	1100000000
503378606431101	60500	60000	1100000000
503379606867373	59500	59000	1100000000
503380607347101	59250	59000	1100000000
503381607874370	60125	60000	1100000000
503382608387602	60500	60000	1100000000
503383608906222	61125	61000	1100000000
503384609434725	61625	61000	1100000000
503385610037785	62000	62000	1100000000
503386610527052	62250	62000	1100000000
503387611050616	62500	62000	1100000000
503388611599666	63000	63000	1100000000
503389612164454	63250	63000	1100000000
503390612729542	63750	63000	1100000000
503391613265201	64125	64000	1100000000
503392613828331	64250	64000	1100000000
503393614387359	64500	64000	1100000000
503394614961481	64875	64000	1100000000
503395615527430	65250	65000	1100000000
503396616185302	65750	65000	1100000000
503397616679903	65875	65000	1100000000
503398617256978	66125	66000	1100000000
503399617842245	66250	66000	1100000000
