slot	arm	server_sha256	predicted_n	predicted_ms	tok_s	census_rows	sidecar	ownership	status	sclk_mode_mhz	sclk_share	regime_delta	clock_invariant	below_required_fraction
0a	W	83684f3c5992c1e62f26d15247393cf4b1aa380c5f2a4e1ca1b05071db0e49b4	64	18381.378	3.427	-	on	-	completed	1100	1.0000	-	held	0.0000
1	P-nosidecar	83684f3c5992c1e62f26d15247393cf4b1aa380c5f2a4e1ca1b05071db0e49b4	64	17672.561	3.565	-	off	-	completed	-	-	-	-	-
2	P	83684f3c5992c1e62f26d15247393cf4b1aa380c5f2a4e1ca1b05071db0e49b4	64	17744.065	3.550	-	on	-	completed	1100	1.0000	-	held	0.0000
3	P	83684f3c5992c1e62f26d15247393cf4b1aa380c5f2a4e1ca1b05071db0e49b4	64	20615.301	3.056	-	refused	-	failed	1100	1.0000	-	held	0.0000
4	P-nosidecar	83684f3c5992c1e62f26d15247393cf4b1aa380c5f2a4e1ca1b05071db0e49b4	64	17994.867	3.501	-	off	-	completed	-	-	-	-	-
5	P-nosidecar	83684f3c5992c1e62f26d15247393cf4b1aa380c5f2a4e1ca1b05071db0e49b4	64	19157.222	3.289	-	off	-	completed	-	-	-	-	-
6	P	83684f3c5992c1e62f26d15247393cf4b1aa380c5f2a4e1ca1b05071db0e49b4	64	19863.674	3.172	-	refused	-	failed	1100	1.0000	-	held	0.0000
7	P	83684f3c5992c1e62f26d15247393cf4b1aa380c5f2a4e1ca1b05071db0e49b4	64	19956.957	3.157	-	refused	-	failed	1100	1.0000	-	held	0.0000
8	P-nosidecar	83684f3c5992c1e62f26d15247393cf4b1aa380c5f2a4e1ca1b05071db0e49b4	64	17909.522	3.518	-	off	-	completed	-	-	-	-	-
9	P	83684f3c5992c1e62f26d15247393cf4b1aa380c5f2a4e1ca1b05071db0e49b4	64	19273.619	3.269	-	refused	-	failed	1100	1.0000	-	held	0.0000
10	I0	4844d0dcaa9e12c9a701c6fdf81d955be7ec254b39d074928108cde7bbe25e8d	64	19718.926	3.195	-	on	-	completed	1100	1.0000	-	held	0.0000
11	I0	4844d0dcaa9e12c9a701c6fdf81d955be7ec254b39d074928108cde7bbe25e8d	64	19603.800	3.214	-	on	-	completed	1100	1.0000	-	held	0.0000
12	P	83684f3c5992c1e62f26d15247393cf4b1aa380c5f2a4e1ca1b05071db0e49b4	64	19356.042	3.255	-	on	-	completed	1100	1.0000	-	held	0.0000
13	P	83684f3c5992c1e62f26d15247393cf4b1aa380c5f2a4e1ca1b05071db0e49b4	64	18309.911	3.441	-	on	-	completed	1100	1.0000	-	held	0.0000
14	I0	4844d0dcaa9e12c9a701c6fdf81d955be7ec254b39d074928108cde7bbe25e8d	64	17745.647	3.550	-	on	-	completed	1100	1.0000	-	held	0.0000
15	I0	4844d0dcaa9e12c9a701c6fdf81d955be7ec254b39d074928108cde7bbe25e8d	64	17709.187	3.557	-	on	-	completed	1100	1.0000	-	held	0.0000
16	P	83684f3c5992c1e62f26d15247393cf4b1aa380c5f2a4e1ca1b05071db0e49b4	64	17698.797	3.560	-	on	-	completed	1100	1.0000	-	held	0.0000
17	I0	4844d0dcaa9e12c9a701c6fdf81d955be7ec254b39d074928108cde7bbe25e8d	64	17882.021	3.523	-	on	-	completed	1100	1.0000	-	held	0.0000
18	I1	4844d0dcaa9e12c9a701c6fdf81d955be7ec254b39d074928108cde7bbe25e8d	64	18849.462	3.342	57552	on	conclusive	completed	1100	1.0000	-	held	0.0000
19	I1	4844d0dcaa9e12c9a701c6fdf81d955be7ec254b39d074928108cde7bbe25e8d	64	18788.433	3.353	57552	on	conclusive	completed	1100	1.0000	-	held	0.0000
20	I0	4844d0dcaa9e12c9a701c6fdf81d955be7ec254b39d074928108cde7bbe25e8d	64	18272.366	3.448	-	on	-	completed	1100	1.0000	-	held	0.0000
21	I0	4844d0dcaa9e12c9a701c6fdf81d955be7ec254b39d074928108cde7bbe25e8d	64	18008.361	3.498	-	on	-	completed	1100	1.0000	-	held	0.0000
22	I1	4844d0dcaa9e12c9a701c6fdf81d955be7ec254b39d074928108cde7bbe25e8d	64	19368.362	3.253	57552	on	-	failed	1100	1.0000	-	held	0.0000
23	I1	4844d0dcaa9e12c9a701c6fdf81d955be7ec254b39d074928108cde7bbe25e8d	64	18604.871	3.386	57552	on	conclusive	completed	1100	1.0000	-	held	0.0000
24	I0	4844d0dcaa9e12c9a701c6fdf81d955be7ec254b39d074928108cde7bbe25e8d	64	18175.514	3.466	-	on	-	completed	1100	1.0000	-	held	0.0000
25	S	4844d0dcaa9e12c9a701c6fdf81d955be7ec254b39d074928108cde7bbe25e8d	64	34910.370	1.805	64	on	-	completed	1100	1.0000	-	held	0.0000
