slot	arm	phase	begin_ns	end_ns	note
0a	W	launch	1788625074378003729	1788625086239189243	-
0a	W	request	1788625086239189243	1788625106249932985	-
0a	W	teardown	1788625106249932985	1788625107428559912	-
0a	W	analysis	1788625107428559912	1788625110368819299	-
0a	W	cooldown	1788625110369784200	1788625115265227827	quiescence=reached elapsed_ms=4881 sclk_forced=1 predicates=-
1	P-nosidecar	launch	1788625115266346726	1788625127710620233	-
1	P-nosidecar	request	1788625127710620233	1788625146999561713	-
1	P-nosidecar	teardown	1788625146999561713	1788625148052331717	-
1	P-nosidecar	analysis	1788625148052331717	1788625150677234223	-
1	P-nosidecar	cooldown	1788625150678305944	1788625161994690266	quiescence=reached elapsed_ms=11294 sclk_forced=1 predicates=-
2	P	launch	1788625161995881521	1788625175224139436	-
2	P	request	1788625175224139436	1788625194608151017	-
2	P	teardown	1788625194608151017	1788625195524117210	-
2	P	analysis	1788625195524117210	1788625198027080691	-
2	P	cooldown	1788625198027880231	1788625207009348166	quiescence=reached elapsed_ms=8966 sclk_forced=1 predicates=-
3	P	launch	1788625207010586779	1788625219137842107	-
3	P	request	1788625219137842107	1788625241367488796	-
3	P	teardown	1788625241367488796	1788625242580100603	-
3	P	analysis	1788625242580100603	1788625246922324123	-
3	P	cooldown	1788625246932226338	1788625335026492568	quiescence=reached elapsed_ms=88065 sclk_forced=1 predicates=-
4	P-nosidecar	launch	1788625335028189320	1788625348958914015	-
4	P-nosidecar	request	1788625348958914015	1788625368577944258	-
4	P-nosidecar	teardown	1788625368577944258	1788625369536170220	-
4	P-nosidecar	analysis	1788625369536170220	1788625372230384614	-
4	P-nosidecar	cooldown	1788625372231259244	1788625382271633189	quiescence=reached elapsed_ms=10011 sclk_forced=1 predicates=-
5	P-nosidecar	launch	1788625382272793756	1788625395153313329	-
5	P-nosidecar	request	1788625395153313329	1788625415966349023	-
5	P-nosidecar	teardown	1788625415966349023	1788625417591771365	-
5	P-nosidecar	analysis	1788625417591771365	1788625421277088126	-
5	P-nosidecar	cooldown	1788625421278353019	1788625446360494290	quiescence=reached elapsed_ms=25060 sclk_forced=1 predicates=-
6	P	launch	1788625446361700502	1788625461678963596	-
6	P	request	1788625461678963596	1788625483279264480	-
6	P	teardown	1788625483279264480	1788625484664323626	-
6	P	analysis	1788625484664323626	1788625489069774575	-
6	P	cooldown	1788625489080340832	1788625496523352785	quiescence=reached elapsed_ms=7409 sclk_forced=1 predicates=-
7	P	launch	1788625496526208481	1788625510670491368	-
7	P	request	1788625510670491368	1788625532297984268	-
7	P	teardown	1788625532297984268	1788625533540344856	-
7	P	analysis	1788625533540344856	1788625536226434952	-
7	P	cooldown	1788625536227767832	1788625549686959566	quiescence=reached elapsed_ms=13438 sclk_forced=1 predicates=-
8	P-nosidecar	launch	1788625549688131794	1788625562268046402	-
8	P-nosidecar	request	1788625562268046402	1788625581801093448	-
8	P-nosidecar	teardown	1788625581801093448	1788625582874993261	-
8	P-nosidecar	analysis	1788625582874993261	1788625585569941673	-
8	P-nosidecar	cooldown	1788625585570920118	1788625593370856384	quiescence=reached elapsed_ms=7779 sclk_forced=1 predicates=-
9	P	launch	1788625593372124012	1788625606941365018	-
9	P	request	1788625606941365018	1788625627897377764	-
9	P	teardown	1788625627897377764	1788625629404294930	-
9	P	analysis	1788625629404294930	1788625633784269820	-
9	P	cooldown	1788625633785353813	1788625655467525140	quiescence=reached elapsed_ms=21640 sclk_forced=1 predicates=-
10	I0	launch	1788625655468751841	1788625671181809175	-
10	I0	request	1788625671181809175	1788625692570098510	-
10	I0	teardown	1788625692570098510	1788625694260374169	-
10	I0	analysis	1788625694260374169	1788625697794561896	-
10	I0	cooldown	1788625697795642703	1788625718904325932	quiescence=reached elapsed_ms=21089 sclk_forced=1 predicates=-
11	I0	launch	1788625718905653782	1788625735585514381	-
11	I0	request	1788625735585514381	1788625756862887473	-
11	I0	teardown	1788625756862887473	1788625758300157660	-
11	I0	analysis	1788625758300157660	1788625761543243660	-
11	I0	cooldown	1788625761545573249	1788625783166738310	quiescence=reached elapsed_ms=21591 sclk_forced=1 predicates=-
12	P	launch	1788625783168791129	1788625799238020769	-
12	P	request	1788625799238020769	1788625820302345018	-
12	P	teardown	1788625820302345018	1788625821785987802	-
12	P	analysis	1788625821785987802	1788625825209158167	-
12	P	cooldown	1788625825212196044	1788625852300412264	quiescence=reached elapsed_ms=27055 sclk_forced=1 predicates=-
13	P	launch	1788625852302895801	1788625867012227207	-
13	P	request	1788625867012227207	1788625886980687250	-
13	P	teardown	1788625886980687250	1788625888302172789	-
13	P	analysis	1788625888302172789	1788625891309204419	-
13	P	cooldown	1788625891320517895	1788625926297642482	quiescence=reached elapsed_ms=34950 sclk_forced=1 predicates=-
14	I0	launch	1788625926300376188	1788625939057289169	-
14	I0	request	1788625939057289169	1788625958428611614	-
14	I0	teardown	1788625958428611614	1788625959311223219	-
14	I0	analysis	1788625959311223219	1788625961800373474	-
14	I0	cooldown	1788625961801943157	1788625972873547034	quiescence=reached elapsed_ms=11053 sclk_forced=1 predicates=-
15	I0	launch	1788625972874711357	1788625984840222774	-
15	I0	request	1788625984840222774	1788626004163496902	-
15	I0	teardown	1788626004163496902	1788626005244838330	-
15	I0	analysis	1788626005244838330	1788626007912176731	-
15	I0	cooldown	1788626007913019110	1788626019139408530	quiescence=reached elapsed_ms=11212 sclk_forced=1 predicates=-
16	P	launch	1788626019140599673	1788626031828848520	-
16	P	request	1788626031828848520	1788626051159572564	-
16	P	teardown	1788626051159572564	1788626052133110077	-
16	P	analysis	1788626052133110077	1788626054564323597	-
16	P	cooldown	1788626054565235658	1788626065628140140	quiescence=reached elapsed_ms=11048 sclk_forced=1 predicates=-
17	I0	launch	1788626065629252525	1788626078039301092	-
17	I0	request	1788626078039301092	1788626097578393148	-
17	I0	teardown	1788626097578393148	1788626098746307086	-
17	I0	analysis	1788626098746307086	1788626102004532736	-
17	I0	cooldown	1788626102005774665	1788626115018350488	quiescence=reached elapsed_ms=12990 sclk_forced=1 predicates=-
18	I1	launch	1788626115019850731	1788626128701836111	-
18	I1	request	1788626128701836111	1788626149210012956	-
18	I1	teardown	1788626149210012956	1788626150437839399	-
18	I1	analysis	1788626150437839399	1788626155696279008	-
18	I1	cooldown	1788626155697363111	1788626191478714814	quiescence=reached elapsed_ms=35720 sclk_forced=1 predicates=-
19	I1	launch	1788626191480121592	1788626206628515444	-
19	I1	request	1788626206628515444	1788626227067572053	-
