model_id	role	target_tok_s	arms	arms_meeting_target	minimum_tok_s	mean_tok_s	median_tok_s	maximum_tok_s	span_percent	target_state
qwen35-08b	compact-text	20	4	0	16.23300076295103585869868536	18.257274225738	18.829132282839	19.13783157432359156951179392	15.910539413	unmet
qwen38-2b-distill	fast-text	10	4	0	9.830727358352482445909933685	9.863537043126	9.864224436732	9.894971940686711052683657747	0.651334121	unmet
qwen38-4b-distill	balanced-text	5.25	4	0	3.331311456417113190190228989	3.351751667996	3.355433455637	3.364828304294776050647609276	0.999980046	unmet
