slot	block	direction	model_id	role	target_tok_s	target_state	context	batch	ubatch	cache_k	cache_v	flash_attention	ctx_checkpoints	checkpoint_min_step	vulkan_profile	prompt_tokens	prompt_ms	prefill_tok_s	decode_tokens	predicted_ms	reported_tok_s	recomputed_tok_s	request_status	teardown_status	child_valid	model_bytes	model_sha256	inputs_sha256	launch_sha256	teardown_sha256	session_status_sha256	server_process_sha256	runtime_inputs_sha256	server_log_sha256	telemetry_log_sha256	graphics_latency_log_sha256	kernel_hazards_log_sha256	campaign_runner_stdout_sha256	campaign_runner_stderr_sha256	request_sha256	response_sha256	child_summary_sha256	arm_directory
1	1	forward	qwen35-08b	compact-text	20	unmet	8192	128	32	q8_0	q4_0	on	2	8192	low-async	19	288.148	65.93833724336105	64	3338.95	18.86820707108522	18.868207071085	0	0	true	833592096	37ae482d336108d23516fa35e8e0c4126688d81018b87178a18d752a1357814f	f7ccca3dded9e5d811b5c9cb6ec729e083c3f0c740429ee08279b71903c265b8	5f1af1a30335b4e443ab43e9ae91ba3ac15b49e7486316c33d9cef2ce0382ced	95d225ea4c8670906fb96e8767590da3ca41b69dfb671805828742eb09f4923f	a95d007cca8e24570956c94bd423aae6bac25366bea07c9164a79924ead537cf	d112b1ab13cf3feec2d13072f5d66aaea98992ee2d128425c08685f807e5420d	03f7706f200d82b7525779e4d4cd5337bd9c122dfa7c3efefe8f13d6f680d815	4fde41ec2311b454455a1b5a1c85ae6911b6d13e1e3f4aa1eb1adb4f41d07f4a	72b238e59d7b04acccb1432bf5c3bbb9ebfedc01d6695f27fecc8cae9ea8db81	1acda8a67d0389b8594ec9b36d1bc4610eeab7bffe7e83fdaa368eeb0866947c	25b7bcfeb5decad6088624cfb75b9fad24ad0f42cfc4ccf6bd4866e26d994815	a2bc08d06375b91bf52addd0680541fda26874eaa48c011f992fe63f93807502	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	311337b08fe1c162ed20fb7642812d90517bf381795bd8b7ee0e895fc5644714	d48047fec3191d22855260d808a85b59c9fb4f6444d458f9865ebec878a9d098	769046bd5958b0551674a79446c362d7f428e67f6ebfe2a350d5972a95c8552a	arms/01-forward-qwen35-08b
2	1	forward	qwen38-2b-distill	fast-text	10	unmet	24576	128	32	q8_0	q4_0	on	2	8192	low-async	19	665.011	28.570955969149384	64	6408.478	9.830727358352481	9.830727358352	0	0	true	1312164224	4aa0fb13c431514262f259d420ecc95a8714df58ac2a2384514e20b93983f0ff	5d23ee4a675e691b5f5cdd139f327a01b94d829f1fba6b32826ec514f8b4909f	148e6200cf557626af681a43a200d3e244f499ef823a6de5dbfd054e9b6bf12a	1f3fb7699251b18ac08bc1ce386172eda12a4349b30d4a3d0fa35622a39465e0	5dd875dd397b3ee654bbc7c1a04cb1c0b16efdcaa94d8c00c899e463d5b97337	2213f0a6150204a23fa8ab5c0f9c9b276a73948471bab20a0cec5353b40b7722	0347dda6430138132caf5df8d4d1b5e2347e2c74624307ee50ff2f3af01cc5f1	290943c9b0ab6539f8b2a0295d70fa9f21487f3d386b7205c40daa382a191343	c8bddb4b180305d08b410f4707fc8b4467e0eef921abe060fd6c2aafae00369f	19757ff55cc87a0bad14115d07d7ba1078b56d723a43c1201938b20c7115d568	03697d1241135ee59e3bb1d9c6759d56707c76eece7f3c55c92af569c306158f	b2ea109f1c4ad97c3d3715bc8f2be3496807d77f29e538e3fdfac7f06d895318	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	311337b08fe1c162ed20fb7642812d90517bf381795bd8b7ee0e895fc5644714	5ed90a31f9b728b0d3e071516e38e26ac4ad570ebacc01a8d972e48875e7156c	edab71f0f74a04d9912b832ecf434b562e15d79b546652029342c166d758bca1	arms/02-forward-qwen38-2b-distill
3	1	forward	qwen38-4b-distill	balanced-text	5.25	unmet	24576	128	32	q8_0	q4_0	on	2	8192	low-async	19	1627.815	11.672088044403079	64	18911.471	3.331311456417113	3.331311456417	0	0	true	2783446304	dec96e8cf2e11b613bb46513dec485377f9ca5a351e71712ee0e244f287c6790	e84f30271055e9d878e7d1306e75e41e1ef2df5122d6cee3a6c69a61424e43d3	355d2f11b16d9054847abcb0c3654b41cedb8baf8a24b9948ee16bbd9a706d73	fad3079b806d985ff6187837452fa0a095d9aabccdae1907895578b36bb1da87	3575bedfe7dbe46026d955c431ce4b4cfc02a66c58e616edfc3135fcc4121312	10a3136da68e6f11c68153aba0f846bf5ce321d772a50ac3f2897189674b9da0	ccfa4fa5e8b201c92a89d469608b571b09fc5d4e716c2d3a650ccc8d47cf2d97	463d7b3a8435d9f429b9effe5c07c5ee522342b2b95e5081263499e79d576c9f	273873240bd02047284ae373dfd360e152fcbdc07edca596582ab6db1d841297	f0a19d3547bb00078e29e2906cf53d0ffaa352598a3f85a0b92d8b97b5c23e80	a5ad78f69b692b59eb8ef312482f85ca59f7e46cc2f1f12224159761dafb9703	a54b260c86361c689f7c628a9eecf3b6bbee67cb38b533ce98879c2e46240b18	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	311337b08fe1c162ed20fb7642812d90517bf381795bd8b7ee0e895fc5644714	7f66880b8ba13e67100aae3e564c8c4734d8e7907a5fc7d4309b2e821407e6c7	8220b840201a759e6adeb9f752b9bf1ccee183c5252d9bc37e40c14c0bdad39f	arms/03-forward-qwen38-4b-distill
4	2	forward	qwen35-08b	compact-text	20	unmet	8192	128	32	q8_0	q4_0	on	2	8192	low-async	19	286.185	66.39062145115922	64	3352.837	18.790057494593384	18.790057494593	0	0	true	833592096	37ae482d336108d23516fa35e8e0c4126688d81018b87178a18d752a1357814f	80e7f93b1e3cd05356049d1111433a72d0b9020061ac439a134305de78586630	7dbc7e27b30cfe743d7c4d65c84d39ee1c6bf5b3b7aa497a8ea73cba6b82a107	f0ae99f22758d30b6f4d0b97ad58cbc53ccd356e2207c8f63f64b715db9447f2	852ec396585548470961260c71d26753286d74f9545a7fccaa0903998e2f5714	c8cdf2fa8f543a5392ce2fda8f5e54bdef8a345ad698db8cc3d01ca15f783350	f551c60559a59113e554d82f33d3b2c8909cd4e32877ee7358f3a75a0540898f	0bb5bf00782c0259b120681cb1afae4043cf17a618d272bc126c8b22873868ba	22c48bd5ea94da3f9de3a499f60e0c18724fedea79eb094a83c8467949d477ec	de63e3058f1e49f52ee63cfdd8e5786ff86408dc8fa3aa46361e47345829671a	696ae34f806795ac00c23c7debd652ce90c4894f5bb66981c0c8229c5b9e7e06	864868b87ac6119d3d5fa6e0d0cacb091432f81a2ccf5e64b1f73ad13fcd5885	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	311337b08fe1c162ed20fb7642812d90517bf381795bd8b7ee0e895fc5644714	ba5628a8ff41be061fc7b379c88e9e6d8b533e1f8455f356478b11b61757d586	94fdeefda510c0ccd24a69a17d631797f961369a45cea048720cf9056b750b1e	arms/04-forward-qwen35-08b
5	2	forward	qwen38-2b-distill	fast-text	10	unmet	24576	128	32	q8_0	q4_0	on	2	8192	low-async	19	664.965	28.572932409976463	64	6366.87	9.89497194068671	9.894971940687	0	0	true	1312164224	4aa0fb13c431514262f259d420ecc95a8714df58ac2a2384514e20b93983f0ff	fca6766fae8a89a9815112981f7b59e4e822276537b8f0966bf2c2a68def0de2	a7bea1620ee247acafe05b8b82ec07a98745c1203b1fd9abf8111422a5cbd076	17d5c55699d02f80e2368188eacc98960cda357c245fbd2820b41d9ae3218101	c68f9654a8a868dfe3eec826e17f10d5718b7a7a1fa22d4a8d6dae97b16189d8	cd63cfc08564aa1415458a1e4771aa17dffebdbac52fa74546e976034b4564e0	69582103a2cc3ab0d5c9a68ff7d40db5d5c859ee7a81c228a6004cd093bb17dc	1c916cfa7b2ccaaa57311d3acb85bf4e86712e26de43240d80bfa9b623e4e27d	3552704a06fda8a97ba73819ebd8f4230e85eb12d40a3f51db5c064337e7a0c7	a2b9c82ad21d96745eb1c922ad341d1d4d924da5455c448d74942e1a090c0517	d46a77e946c1f5082deb86dc8c58840e9f8e75e65000dcc69c04cc377721ba72	5ee68807006154ff42b66bd44c240c612d593e0cc71cb9e33635dddae256aaa1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	311337b08fe1c162ed20fb7642812d90517bf381795bd8b7ee0e895fc5644714	ee8f92a78f0c703daddb679a05d9ca1b81e84a17ea4d4e0af80534be92836a4a	589a0d4d37318dc3dbfe23cb3e72075eb8f590242666c5c2895d709b62691854	arms/05-forward-qwen38-2b-distill
6	2	forward	qwen38-4b-distill	balanced-text	5.25	unmet	24576	128	32	q8_0	q4_0	on	2	8192	low-async	19	1627.033	11.677697993832947	64	18801.686	3.3507633304800426	3.350763330480	0	0	true	2783446304	dec96e8cf2e11b613bb46513dec485377f9ca5a351e71712ee0e244f287c6790	a09208d7022db262dd52e28cb6dd36138f69132bbe122ebe35d303639de247f4	803497832f8af9d4611bdfc8c4f1b5454d0a24befe222a805637bc826f80f47b	656961e610aaec71df339878413ffb787e2089c25b9d76c8caaa28b435c5e85f	b100f50aef2046d89fb64672f1851e5777dbd62333f4cffa5f5671d36ff79fa2	cfc9995de73be59f87d4535de2e130b1d3b06ff37aba79d3ce97deeee748131c	ce903ccba4698371eccc58559778c1880657ee2b5760c61dc474379a2cf4bf8d	7a7468cb7072ea6203e29140f2f3d4e29bb5f7d4c53771f787b149d76eeea090	f646c0903eb411795253a97a0e4158815c3e1809856c6a27dfdea3aad1533e60	03f7d6aabaaa5a56cb9836d0d1747600de5e0e2512a79de28c79cd25fb9167c2	7b809dbe3428cc4c47ab9802bd7e2e1f746c5ea052771e75f1b1baeea00c8002	be45685869c8fada5a3446d21632ee5c25370ccb637932ab2ed98683876bcda2	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	311337b08fe1c162ed20fb7642812d90517bf381795bd8b7ee0e895fc5644714	3d87c9c7f25ca909c10799a76836ec24cbee75b958b97100ac83c8bf4940bd41	711525b80e05f6c98a985bcc46e357a4cdd915301ca22d523496f89646027aa5	arms/06-forward-qwen38-4b-distill
7	3	reverse	qwen38-4b-distill	balanced-text	5.25	unmet	24576	128	32	q8_0	q4_0	on	2	8192	low-async	19	1629.412	11.660648135646479	64	18749.422	3.3601035807930506	3.360103580793	0	0	true	2783446304	dec96e8cf2e11b613bb46513dec485377f9ca5a351e71712ee0e244f287c6790	40c27d67c9fb2dbed122532fe8237cdfdaec519dd0069065fee409bb6433ef1e	3edfc1114b1bc8f44bc3851067cb126db594e781856626fa466f82c9df95e9a0	ceca2424d798f3e101ef318609576c219426f6963a6b02bd0df216968b649bcd	1ce9ec839e7c5aa7c5e00cb8659dea907cb34738f2d5aa7ed4186856cc6fc970	2ea34b28b485b7ee50169ae6421a1facc8120583fa1be3011fd383876b00143f	9e8c64476d72a25ac2c030483d3c2280f2c4bd6ac6540f6ba723e5808498085f	ce571850cb0f4a8264780acd5e8ef8ff74cba0b2913658e5a4e24cd771c2ce8b	4bf60af0f2f7fb239e87de5d088abea0ddca3fd9abedff33c0bce9090d97bb5c	2026c0263ffe226ed43a79969182e6e0bd3efe3179d83a24ca64fce609732e37	6bf18e90f4e5d74dc41a05636bef92b7ce23fd106fa84d365d79792bba39b0cc	8823ecb981468187febe68d50f5e0fd0ee8509c18d3246f8dd0e08ae5f15e25d	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	311337b08fe1c162ed20fb7642812d90517bf381795bd8b7ee0e895fc5644714	e7399f3d083e9e0bc4a5a5e50d19ae3e56735a33bd541d34bacbf91afd766b03	035878d60b758340e99bd032ebeee20d8793594700de59b0cbceeeb3a2662016	arms/07-reverse-qwen38-4b-distill
8	3	reverse	qwen38-2b-distill	fast-text	10	unmet	24576	128	32	q8_0	q4_0	on	2	8192	low-async	19	665.984	28.52921391504901	64	6396.842	9.848609673335686	9.848609673336	0	0	true	1312164224	4aa0fb13c431514262f259d420ecc95a8714df58ac2a2384514e20b93983f0ff	db4073413199f2ea3224cc0aef67ebaba85691ea0fbe242345d4115abe22b480	42a5a02714704f4051e8ba27504ec51db59ea5fba71fcce2ce680ee8756cc720	e17f8e78a63e4e09018dfacbf4c72b08cf6e553e6d8f94732a125d97ef4d88d6	d30091674c7b7a6e548452548a9acebfcb4fc386b44e176d9397ee57cce83770	90ce7696be92fb48ec09786e357dc7056fad109a6d22e60328fcf573aeae03c6	6cf67049d7c76cfabdcc006e30586e90276854613cdfdd9c74815bedc7c49566	a966f978351dff37fc1d624330d139d1030f456ccc04eb892bb44cc54c45089c	232a61f77f5b70fd9370be5896c7ee27c184b06f4f4003bc937e1cf918aaea30	156e0b77ce5c27309306b6993ad63ae26b27217b3d2b9fd4d9567c76970b3a09	2c4e81f4fde074a07405e0e27af92c1cee07bc2d76a2cc578f4035a8e2b4d1fb	d45c096acf0772cccf407dcced020f978ce9519198d122b5dc0a13f04d726f01	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	311337b08fe1c162ed20fb7642812d90517bf381795bd8b7ee0e895fc5644714	1ac4cd5b97e3210aaea7167025de70e02870ebeff7af131f6b14852ac69aa982	d8a9b6b7d2b70facd71ad79757d8f556777aaed3a31c744e175e73406dd1c65e	arms/08-reverse-qwen38-2b-distill
9	3	reverse	qwen35-08b	compact-text	20	unmet	8192	128	32	q8_0	q4_0	on	2	8192	low-async	19	288.236	65.91820591459776	64	3291.909	19.13783157432359	19.137831574324	0	0	true	833592096	37ae482d336108d23516fa35e8e0c4126688d81018b87178a18d752a1357814f	8773a28280a4be2c4ef0bcc709a8934089a2acfff6d937d7a5f02f0fb1d33d91	a3b41007d21b5ee8e48c92920272058ba211ee7b181dce8c700d99ec9f38ae23	3dc450b24397f6fb487b6129e7240cc51ca1e8ce41edf322b22d3509e6cc0eed	2ea753a85f8f48ae0f1712868e12f909283268edde3fde5d93bab35c85374a1e	10a62e29be680b9f13c0f65178eda955698e3ea484415cf8e305b4e84be2eaf9	e239a282577c1efbe45b47cc5f70123592ac530dc5e4fc3d57497ee99ba57abd	a92f4306d07055d6f11395c045613dfd34bb45d8678d40b201f0ba76a55b39d4	be24a74044f0f635b07005574f68843d64adc1ddab5c9cd40d1595abe629d9d1	d0f06fc6c079d71ddebc181ab4d154abbd94a84cfee541b194abee72db491ccc	2adc6e25522d0e7f5be7634c22b9c10bbbd0cdef0d68ec5bc592d25ee2b2b126	8a1b094699bdf5213158983ef70addc45d2c0d4ecf73b2e0657114dda6b72384	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	311337b08fe1c162ed20fb7642812d90517bf381795bd8b7ee0e895fc5644714	009a2dc8b89f1390257f5469d3e16f2938e536be0f208a7dda3806a8b7ea9c3f	79701ccffba35b4266218f35f677ecdfd15c6b97dc116bebcdfcf8f82fdf28e1	arms/09-reverse-qwen35-08b
10	4	reverse	qwen38-4b-distill	balanced-text	5.25	unmet	24576	128	32	q8_0	q4_0	on	2	8192	low-async	19	1625.832	11.686324294269026	64	18723.095	3.3648283042947758	3.364828304295	0	0	true	2783446304	dec96e8cf2e11b613bb46513dec485377f9ca5a351e71712ee0e244f287c6790	e142ab15a3392936ede3ccd7d70260596d5ebfd679b3908959957858bfb7075c	8336a407cc32775d2bb263868a6aa6b737e0e5f1c70619eab6c145be5dad4808	d66389534d0aec2593d33044ed804147a70692ce3b59431388554b618cb40c44	403b80b698fa68f0981a8cb01e435d734530675f9e3fbd0a7b8291d3777a0cbc	abab91ec316159964390a3a096d006e04be6d5e232a3bc30c0476484ceee4e09	5896b14243eade550455f000ecca1dfe485a1c2d28bd397bd9d6ccf33e9c8126	f132c644c439a4ee28d5ea5f20af30bfea52e557b15927537875dbae2a2a3fd0	0a260f0a92a9c41862d911ae21faa9c6cfece0129450065abde694b31468daf0	b63c2f01abaa3510cd75101fe409bd644c453e5f4637522aa6f70f42af95874e	27c6cfc3c67247a187dadee57e582340a74b6a3ce8ee7352d33219c9be65dab0	ba14c0f9b4f828a592ce515b029c698744469ba933e7040127248be0881778ec	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	311337b08fe1c162ed20fb7642812d90517bf381795bd8b7ee0e895fc5644714	9f22d3180b126e9ded3e2f0e026d900d46ba344eb4b0abc81f4d6220d0d57c76	ad05c36092b9dbd991f2778a1bc2853f487d8764e60a06cee914d7aa57518aaa	arms/10-reverse-qwen38-4b-distill
