monotonic_ns	tctl_millidegrees	edge_millidegrees	freq1_hz
503304509119396	56750	56000	1100000000
503305509631646	57000	57000	1100000000
503306510508117	57625	57000	1100000000
503307511416487	57625	57000	1100000000
503308512247011	58000	58000	1100000000
503309513141342	59250	59000	1100000000
503310514053053	60000	60000	1100000000
503311515729985	60125	60000	1100000000
503312516068813	58500	58000	1100000000
503313516710599	57000	57000	1100000000
503314517485952	57125	57000	1100000000
503315518078635	57500	57000	1100000000
503316518499513	58250	58000	1100000000
503317519205007	58875	58000	1100000000
503318519611018	59375	59000	1100000000
503319520059900	59750	59000	1100000000
503320520943195	60500	60000	1100000000
503321521329526	60875	60000	1100000000
503322521738403	61375	61000	1100000000
503323522839201	61750	61000	1100000000
503324523227631	62000	62000	1100000000
503325523600998	62625	62000	1100000000
503326524017692	62875	62000	1100000000
503327524855419	63000	63000	1100000000
503328525341992	63375	63000	1100000000
503329525736916	63750	63000	1100000000
503330526068780	64125	64000	1100000000
503331526338382	64375	64000	1100000000
503332526633071	64500	64000	1100000000
503333526880769	64875	64000	1100000000
503334527762391	65000	65000	1100000000
503335528067124	74000	74000	1100000000
