key	value
schema	package-energy-window-v1
clock	CLOCK_MONOTONIC
window_begin_ns	503314687881260
window_end_ns	503334905101500
window_s	20.217220
sample_count	641
sample_period_ns	50000000
unreadable_count	0
inner_begin_ns	503314690117144
inner_end_ns	503334888964729
inner_interval_s	20.198848
inner_package_joules	326.454339
inner_core_joules	26.024731
inner_package_watts	16.162028
inner_core_watts	1.288427
outer_begin_ns	503314638981781
outer_end_ns	503334943883016
outer_interval_s	20.304901
outer_package_joules	327.965263
outer_core_joules	26.459508
outer_package_watts	16.152025
outer_core_watts	1.303109
window_coverage	bracketed
