slot	depth	quadruple	arm	replicate	server_role	server_sha256	threads	batch	ubatch	server_nice	prompt_target	tokenize_n	prompt_n	ttft_ms	prompt_ms	prompt_tok_s	predicted_n	decode_tok_s	sclk_mode_mhz	clock_invariant	status	reason
1	512	binary	C	1	control	92015c149b3f4ffee3d9afd580c5cb13d6a95d056d95f1c935507fb4d7fca4e0	1	128	32	19	512	512	512	10104.101	10073.6	50.8261	16	9.55329	1100	-	completed	-
2	512	binary	K	1	candidate	92015c149b3f4ffee3d9afd580c5cb13d6a95d056d95f1c935507fb4d7fca4e0	1	128	32	19	512	512	512	10098.886	10066.3	50.8629	16	9.61108	1100	-	completed	-
3	512	binary	K	2	candidate	92015c149b3f4ffee3d9afd580c5cb13d6a95d056d95f1c935507fb4d7fca4e0	1	128	32	19	512	512	512	10099.427	10068.8	50.8502	16	9.62594	1100	-	completed	-
4	512	binary	C	2	control	92015c149b3f4ffee3d9afd580c5cb13d6a95d056d95f1c935507fb4d7fca4e0	1	128	32	19	512	512	512	10105.877	10075.4	50.8166	16	9.6135	1100	-	completed	-
5	512	threads	C	1	control	92015c149b3f4ffee3d9afd580c5cb13d6a95d056d95f1c935507fb4d7fca4e0	1	128	32	19	512	512	512	10104.169	10073.6	50.8259	16	9.61351	1100	-	completed	-
6	512	threads	T	1	control	92015c149b3f4ffee3d9afd580c5cb13d6a95d056d95f1c935507fb4d7fca4e0	2	128	32	19	512	512	512	10093.259	10062.8	50.8804	16	9.59525	1100	-	completed	-
7	512	threads	T	2	control	92015c149b3f4ffee3d9afd580c5cb13d6a95d056d95f1c935507fb4d7fca4e0	2	128	32	19	512	512	512	10216.769	10169.8	50.345	16	9.04575	1100	-	completed	-
8	512	threads	C	2	control	92015c149b3f4ffee3d9afd580c5cb13d6a95d056d95f1c935507fb4d7fca4e0	1	128	32	19	512	512	512	10098.616	10066.1	50.864	16	9.60013	1100	-	completed	-
9	4096	binary	C	1	control	92015c149b3f4ffee3d9afd580c5cb13d6a95d056d95f1c935507fb4d7fca4e0	1	128	32	19	4096	4096	4096	85619.483	85578.5	47.8625	16	8.89859	1100	-	failed	clock_sidecar
10	4096	binary	K	1	candidate	92015c149b3f4ffee3d9afd580c5cb13d6a95d056d95f1c935507fb4d7fca4e0	1	128	32	19	4096	4096	4096	85610.850	85559.9	47.8729	16	8.86231	1100	-	completed	-
11	4096	binary	K	2	candidate	92015c149b3f4ffee3d9afd580c5cb13d6a95d056d95f1c935507fb4d7fca4e0	1	128	32	19	4096	4096	4096	85573.648	85533.2	47.8878	16	8.92691	1100	-	completed	-
12	4096	binary	C	2	control	92015c149b3f4ffee3d9afd580c5cb13d6a95d056d95f1c935507fb4d7fca4e0	1	128	32	19	4096	4096	4096	85435.795	85373.5	47.9774	16	8.84931	1100	-	completed	-
13	4096	threads	C	1	control	92015c149b3f4ffee3d9afd580c5cb13d6a95d056d95f1c935507fb4d7fca4e0	1	128	32	19	4096	4096	4096	85568.172	85518.3	47.8962	16	8.90734	1100	-	completed	-
14	4096	threads	T	1	control	92015c149b3f4ffee3d9afd580c5cb13d6a95d056d95f1c935507fb4d7fca4e0	2	128	32	19	4096	4096	4096	85588.774	85547.3	47.88	16	8.86841	1100	-	completed	-
15	4096	threads	T	2	control	92015c149b3f4ffee3d9afd580c5cb13d6a95d056d95f1c935507fb4d7fca4e0	2	128	32	19	4096	4096	4096	85381.545	85338.1	47.9973	16	8.85955	1100	-	completed	-
16	4096	threads	C	2	control	92015c149b3f4ffee3d9afd580c5cb13d6a95d056d95f1c935507fb4d7fca4e0	1	128	32	19	4096	4096	4096	85586.185	85542.9	47.8824	16	8.84356	1100	-	completed	-
17	16384	binary	C	1	control	92015c149b3f4ffee3d9afd580c5cb13d6a95d056d95f1c935507fb4d7fca4e0	1	128	32	19	16384	16384	16384	452080.695	452007	36.2472	16	7.00287	1100	-	completed	-
18	16384	binary	K	1	candidate	92015c149b3f4ffee3d9afd580c5cb13d6a95d056d95f1c935507fb4d7fca4e0	1	128	32	19	16384	16384	16384	451172.156	451068	36.3227	16	6.98713	1100	-	completed	-
19	16384	binary	K	2	candidate	92015c149b3f4ffee3d9afd580c5cb13d6a95d056d95f1c935507fb4d7fca4e0	1	128	32	19	16384	16384	16384	449317.983	449237	36.4707	16	7.03018	1100	-	completed	-
20	16384	binary	C	2	control	92015c149b3f4ffee3d9afd580c5cb13d6a95d056d95f1c935507fb4d7fca4e0	1	128	32	19	16384	16384	16384	452461.977	452360	36.219	16	7.01302	1100	-	completed	-
21	16384	threads	C	1	control	92015c149b3f4ffee3d9afd580c5cb13d6a95d056d95f1c935507fb4d7fca4e0	1	128	32	19	16384	16384	16384	462960.329	462859	35.3974	16	6.29162	1100	-	completed	-
22	16384	threads	T	1	control	92015c149b3f4ffee3d9afd580c5cb13d6a95d056d95f1c935507fb4d7fca4e0	2	128	32	19	16384	16384	16384	491300.625	491218	33.3538	16	5.87898	1100	-	completed	-
23	16384	threads	T	2	control	92015c149b3f4ffee3d9afd580c5cb13d6a95d056d95f1c935507fb4d7fca4e0	2	128	32	19	16384	16384	16384	490952.056	490875	33.3771	16	6.03631	1100	-	completed	-
24	16384	threads	C	2	control	92015c149b3f4ffee3d9afd580c5cb13d6a95d056d95f1c935507fb4d7fca4e0	1	128	32	19	16384	16384	16384	492186.778	492095	33.2944	16	5.98997	1100	-	completed	-
