1788382116534994148	400000000	933Mhz	6	auto
1788382116565857385	400000000	933Mhz	7	auto
1788382116595877306	400000000	933Mhz	6	auto
1788382116624807693	400000000	933Mhz	5	auto
1788382116654301813	400000000	933Mhz	7	auto
1788382116690784125	400000000	933Mhz	8	auto
1788382116720883106	400000000	933Mhz	7	auto
1788382116773178648	400000000	933Mhz	6	auto
1788382116845241665	400000000	933Mhz	6	auto
1788382116875855316	400000000	933Mhz	5	auto
1788382116908057431	400000000	933Mhz	7	auto
1788382116957745499	400000000	933Mhz	9	auto
1788382116992573352	400000000	933Mhz	9	auto
1788382117041201301	400000000	933Mhz	8	auto
1788382117122423080	400000000	933Mhz	8	auto
1788382117159424268	400000000	933Mhz	8	auto
1788382117192932799	400000000	933Mhz	8	auto
1788382117230107267	400000000	1067Mhz	9	auto
1788382117270103887	400000000	1067Mhz	8	auto
1788382117307470591	400000000	933Mhz	9	auto
1788382117348870132	400000000	933Mhz	8	auto
1788382117396318285	400000000	933Mhz	10	auto
1788382117431657280	400000000	933Mhz	10	auto
1788382117464793782	400000000	933Mhz	8	auto
1788382117504265493	400000000	933Mhz	9	auto
1788382117541276861	400000000	1067Mhz	10	auto
1788382117573786991	400000000	1067Mhz	9	auto
1788382117607637633	400000000	1067Mhz	10	auto
1788382117644721118	400000000	933Mhz	10	auto
1788382117678786408	400000000	933Mhz	9	auto
1788382117719368403	400000000	933Mhz	8	auto
1788382117754725401	400000000	933Mhz	9	auto
1788382117788967629	400000000	933Mhz	9	auto
1788382117821389671	400000000	933Mhz	9	auto
1788382117890631116	400000000	933Mhz	9	auto
1788382117924176036	400000000	933Mhz	7	auto
1788382117960293452	400000000	933Mhz	8	auto
1788382117993660453	400000000	933Mhz	7	auto
1788382118046124062	400000000	933Mhz	7	auto
1788382118084729583	400000000	933Mhz	7	auto
1788382118128941365	400000000	933Mhz	8	auto
1788382118163472602	400000000	933Mhz	10	auto
1788382118234825824	400000000	933Mhz	9	auto
1788382118338335884	400000000	933Mhz	10	auto
1788382118392481855	400000000	933Mhz	10	auto
1788382118427271453	400000000	933Mhz	9	auto
