arm	ctx_checkpoints	turn	prompt_n	prompt_ms	predicted_n	predicted_ms	prompt_tok_s	decode_tok_s	prefill_saved_ms
1	0	1	30725	692734.508	32	3794.145	44.353	8.434	-
1	0	2	30748	693903.459	32	3765.803	44.312	8.498	-1168.951
2	2	1	30725	693565.199	32	3755.019	44.300	8.522	-
2	2	2	27	2222.674	32	3761.071	12.148	8.508	691342.525
3	2	1	30725	693647.031	32	3751.601	44.295	8.530	-
3	2	2	27	2221.630	32	3737.428	12.153	8.562	691425.401
4	0	1	30725	720588.440	32	4246.447	42.639	7.536	-
4	0	2	30748	723574.344	32	3779.141	42.495	8.468	-2985.904
