repeat	decode_tok_per_second	decode_ms	prompt_n	predicted_n	tokens_sha256
01	15.721904955843906	4007.148	7	64	b1b6996af9129daf64da3cd915d76d832cc4f61bd4dba83f43af2aef2134f629
02	16.174474830206524	3895.026	7	64	b1b6996af9129daf64da3cd915d76d832cc4f61bd4dba83f43af2aef2134f629
03	16.279906899605432	3869.801	7	64	b1b6996af9129daf64da3cd915d76d832cc4f61bd4dba83f43af2aef2134f629
04	16.479747959257878	3822.874	7	64	b1b6996af9129daf64da3cd915d76d832cc4f61bd4dba83f43af2aef2134f629
