source_role	head	tree_bytes	tracked_patch_sha256	tracked_patch_bytes	untracked_count	process_references	owner_surface	disposition
llama.cpp	c2c62855c14130a4b42b76de0c01d46209f7a7fa	630587392	5257e4590e8a657f7462fc8ca6f9e9c4c2b28e434a6e81710d6f9289cfb7ee0d	14022	0	0	patches/llama-vulkan-submit-trace.patch	superseded_cleanup_candidate
llama.cpp-census	18b5adbfe91823eb2bd34c7c65f09010e8d3fa4f	1025605632	53fbe4d6c799a79f1ede1dc1235ad5b4bcfe7b9d4506f31684a03ccffa8df7df	52009	0	0	patches/llama-vulkan-pipeline-census.patch	superseded_cleanup_candidate
llama.cpp-census-check	f280b26983ad0fdb705a0d9ebf0503e76f2899b0	574164992	108ddf6fb79651cc53d7bea31affbc49082195c1dcaee9736270a9c1bf35a18b	51037	3	0	evidence/q8-attribution/pipeline-selection.md	superseded_cleanup_candidate
llama.cpp-e4	18b5adbfe91823eb2bd34c7c65f09010e8d3fa4f	702312448	e3c7e238e13033e279a7e510a71ed7daf4692043b74a6fd67947b399cf544af3	6622	0	0	patches/llama-vulkan-q4k-activation-group-sums.patch	superseded_cleanup_candidate
llama.cpp-e4b	18b5adbfe91823eb2bd34c7c65f09010e8d3fa4f	1442918400	8ec5f3247c47a8954d02150073a34b251869202aed9a3d389262c50f736ba0f6	29489	1	0	patches/llama-vulkan-q4k-activation-sideplane.patch	superseded_cleanup_candidate
llama.cpp-e4b-check	f280b26983ad0fdb705a0d9ebf0503e76f2899b0	574222336	ce4a161dc924218f77ef8c92e760517ce4d15246782ddadc239871ffdbdb10cc	117199	4	0	evidence/raven2-vulkan-kernel-census/e4/e4b-a-first-pass.md	superseded_cleanup_candidate
llama.cpp-e4b-ref	f280b26983ad0fdb705a0d9ebf0503e76f2899b0	574226432	ddf570326a4f7bc85fe9ed66d56cf9dc7723149bec8749245dcc935f46d0b40d	120743	3	0	evidence/raven2-vulkan-kernel-census/e4/e4b-a-first-pass.md	superseded_cleanup_candidate
llama.cpp-e4b-ref2	f280b26983ad0fdb705a0d9ebf0503e76f2899b0	981319680	ce4a161dc924218f77ef8c92e760517ce4d15246782ddadc239871ffdbdb10cc	117199	4	0	evidence/raven2-vulkan-kernel-census/e4/e4b-a-first-pass.md	superseded_cleanup_candidate
llama.cpp-e4b-stack	9e1a8f52b83bb8354ff0c0e2513b7cf4f73d7781	574713856	b35beee3483a72161ccdc213ca4ce32877ea5470ff4df4ea3940fc7d84fd44fa	29601	0	0	evidence/q4k-isa-attribution/README.md	superseded_cleanup_candidate
llama.cpp-lease	f280b26983ad0fdb705a0d9ebf0503e76f2899b0	992829440	79822aeaed482e0cef251afce0dcbe77f4c64996e84b860157e583bf301c7ba7	34917	3	0	patches/llama-server-vulkan-workload-lease.patch	superseded_cleanup_candidate
llama.cpp-lease-off-companion	f280b26983ad0fdb705a0d9ebf0503e76f2899b0	1571844096	ca47669a0f45f82348832ac35991f9127143f38f63f2217cd0a916e6c10eea7d	45116	0	0	qwen-nvidia:evidence/lease-coverage/companion-build/README.md	superseded_cleanup_candidate
llama.cpp-prefix-check	f280b26983ad0fdb705a0d9ebf0503e76f2899b0	574177280	03c8bf9de0911d0c59ac4889114d09aa2bc71f351165aee94f6b88be5543f1ca	47280	4	0	patches/llama-server-prefix-checkpoint.patch	superseded_cleanup_candidate
llama.cpp-prefix-ckpt	f280b26983ad0fdb705a0d9ebf0503e76f2899b0	574148608	d0c2aac2c14e7a33783582b1d36e1922b2f0ea2bd551578c4c3af5f9cb0b40d3	27874	3	0	remote/llama-patch-series.tsv	superseded_cleanup_candidate
llama.cpp-prefix-gen	cece6bb43e1c5d1a1e9c6e332bd55a84a76e54b4	993288192	add430c99143e2b4de60719a2d92444a6f1268ff306b0ed2858978de28ff46bc	29549	0	0	patches/llama-server-prefix-checkpoint.patch	superseded_cleanup_candidate
llama.cpp-qwen-apu-trace	f280b26983ad0fdb705a0d9ebf0503e76f2899b0	1324150784	d0c2aac2c14e7a33783582b1d36e1922b2f0ea2bd551578c4c3af5f9cb0b40d3	27874	3	0	remote/llama-patch-series.tsv	superseded_cleanup_candidate
llama.cpp-qwen-nvidia	f280b26983ad0fdb705a0d9ebf0503e76f2899b0	53339684864	76f4b8e888cde28f354482e4fea3d91e609ce634fb9d6654608b68f496a96768	63055	0	0	qwen-nvidia:patches/	retained_source_and_build_owner
llama.cpp-router-fix	f280b26983ad0fdb705a0d9ebf0503e76f2899b0	1038770176	c0ddbca2b0ee86e672fcb970158958899d2a8ae1b582d356bb5c46495d49827d	32695	3	0	patches/llama-router-cancelled-load-idle.patch	superseded_cleanup_candidate
llama.cpp-row-select	358036a8d18277a427d51a67c3f3958be1e8fd5f	1837965312	e5e247abadca12e526f04e5cbab0d003986c02721f2216a4f994287a7943220d	16877	0	0	patches/llama-vulkan-q4k-row-select.patch	superseded_cleanup_candidate
