slot	arm	server_sha256	predicted_n	predicted_ms	tok_s	census_rows	sidecar	ownership	status
1	P-nosidecar	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	9288.066	6.783	-	off	-	completed
2	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	7012.087	8.984	-	refused	-	failed
3	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6682.060	9.428	-	refused	-	failed
4	P-nosidecar	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6589.576	9.561	-	off	-	completed
5	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6686.660	9.422	-	refused	-	failed
6	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6650.860	9.472	-	refused	-	failed
7	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6705.850	9.395	-	refused	-	failed
8	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6651.289	9.472	-	refused	-	failed
9	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6693.755	9.412	-	refused	-	failed
10	I1	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6765.552	9.312	43608	on	conclusive	completed
11	I1	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6752.291	9.330	43608	refused	-	failed
12	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6639.298	9.489	-	refused	-	failed
13	S	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	27007.492	2.333	64	refused	-	failed
