slot	arm	server_sha256	predicted_n	predicted_ms	tok_s	census_rows	sidecar	ownership	status	sclk_mode_mhz	sclk_share	regime_delta	clock_invariant	below_required_fraction
0a	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18640.368	3.380	-	on	-	completed	1100	0.9695	-	-	-
0b	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18667.230	3.375	-	on	-	completed	1100	0.9853	-	-	-
0c	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18643.768	3.379	-	on	-	completed	1100	0.9714	-	-	-
0d	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18639.888	3.380	-	on	-	completed	1100	0.9646	-	-	-
0e	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18638.754	3.380	-	on	-	completed	1100	0.9655	-	-	-
0f	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18653.017	3.377	-	on	-	completed	1100	0.9606	-	-	-
0g	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18653.310	3.377	-	on	-	completed	1100	0.9616	-	-	-
0h	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18639.369	3.380	-	on	-	completed	1100	0.9626	-	-	-
0i	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18645.291	3.379	-	on	-	completed	1100	0.9616	-	-	-
0j	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18642.434	3.379	-	on	-	completed	1100	0.9774	-	-	-
0k	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18635.546	3.381	-	on	-	completed	1100	0.9695	-	-	-
0l	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18637.734	3.380	-	on	-	completed	1100	0.9803	-	-	-
0m	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18645.769	3.379	-	on	-	completed	1100	0.9704	-	-	-
0n	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18647.564	3.378	-	on	-	completed	1100	0.9705	-	-	-
0o	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18640.099	3.380	-	on	-	completed	1100	0.9557	-	-	-
0p	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18635.149	3.381	-	on	-	completed	1100	0.9655	-	-	-
1	C	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18633.310	3.381	-	on	-	completed	1100	0.9665	-	-	-
2	K	2955d6dd653f3a5cfee6573c1361cf8b694c066905cae1622e4de0d6cb47e98b	64	18639.992	3.380	-	on	-	completed	1100	0.9803	-	-	-
3	K	2955d6dd653f3a5cfee6573c1361cf8b694c066905cae1622e4de0d6cb47e98b	64	18643.159	3.379	-	on	-	completed	1100	0.9626	-	-	-
4	C	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18649.701	3.378	-	on	-	completed	1100	0.9793	-	-	-
5	C	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18642.501	3.379	-	on	-	completed	1100	0.9675	-	-	-
6	K	2955d6dd653f3a5cfee6573c1361cf8b694c066905cae1622e4de0d6cb47e98b	64	18643.353	3.379	-	on	-	completed	1100	0.9704	-	-	-
7	K	2955d6dd653f3a5cfee6573c1361cf8b694c066905cae1622e4de0d6cb47e98b	64	18649.370	3.378	-	on	-	completed	1100	0.9646	-	-	-
8	C	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	18635.965	3.381	-	on	-	completed	1100	0.9803	-	-	-
