slot	arm	phase	begin_ns	end_ns	note
0a	W	launch	1788495266657221347	1788495276831512869	-
0a	W	request	1788495276831512869	1788495297135119803	-
0a	W	teardown	1788495297135119803	1788495298143521585	-
0a	W	analysis	1788495298143521585	1788495298390663117	-
0a	W	cooldown	1788495298391901039	1788495311770044201	quiescence=reached elapsed_ms=13368 sclk_forced=0
0b	W	launch	1788495311775630471	1788495322078519196	-
0b	W	request	1788495322078519196	1788495342406260063	-
0b	W	teardown	1788495342406260063	1788495343285494122	-
0b	W	analysis	1788495343285494122	1788495343529190094	-
0b	W	cooldown	1788495343530701117	1788495355898691107	quiescence=reached elapsed_ms=12356 sclk_forced=0
0c	W	launch	1788495355904149129	1788495366116293341	-
0c	W	request	1788495366116293341	1788495386413974465	-
0c	W	teardown	1788495386413974465	1788495387433565712	-
0c	W	analysis	1788495387433565712	1788495387658579939	-
0c	W	cooldown	1788495387660062544	1788495399785345990	quiescence=reached elapsed_ms=12114 sclk_forced=0
0d	W	launch	1788495399790804151	1788495410075492739	-
0d	W	request	1788495410075492739	1788495430378209989	-
0d	W	teardown	1788495430378209989	1788495431396691378	-
0d	W	analysis	1788495431396691378	1788495431634552266	-
0d	W	cooldown	1788495431635413771	1788495445306767318	quiescence=reached elapsed_ms=13662 sclk_forced=0
0e	W	launch	1788495445312147381	1788495455614192891	-
0e	W	request	1788495455614192891	1788495475914756529	-
0e	W	teardown	1788495475914756529	1788495476910983130	-
0e	W	analysis	1788495476910983130	1788495477158750490	-
0e	W	cooldown	1788495477160138038	1788495490139693450	quiescence=reached elapsed_ms=12968 sclk_forced=0
0f	W	launch	1788495490145365464	1788495500337904859	-
0f	W	request	1788495500337904859	1788495520648834475	-
0f	W	teardown	1788495520648834475	1788495521641360069	-
0f	W	analysis	1788495521641360069	1788495521896998872	-
0f	W	cooldown	1788495521898949526	1788495535522671154	quiescence=reached elapsed_ms=13613 sclk_forced=0
0g	W	launch	1788495535528189375	1788495545753321101	-
0g	W	request	1788495545753321101	1788495566064394759	-
0g	W	teardown	1788495566064394759	1788495566952974592	-
0g	W	analysis	1788495566952974592	1788495567164001229	-
0g	W	cooldown	1788495567165392391	1788495580134201672	quiescence=reached elapsed_ms=12958 sclk_forced=0
0h	W	launch	1788495580140042370	1788495590373952153	-
0h	W	request	1788495590373952153	1788495610683186516	-
0h	W	teardown	1788495610683186516	1788495611565980630	-
0h	W	analysis	1788495611565980630	1788495611815368542	-
0h	W	cooldown	1788495611816737385	1788495624204528157	quiescence=reached elapsed_ms=12378 sclk_forced=0
0i	W	launch	1788495624209811865	1788495634422183436	-
0i	W	request	1788495634422183436	1788495654733378473	-
0i	W	teardown	1788495654733378473	1788495655726586718	-
0i	W	analysis	1788495655726586718	1788495655961233731	-
0i	W	cooldown	1788495655962777896	1788495668299027949	quiescence=reached elapsed_ms=12325 sclk_forced=0
0j	W	launch	1788495668305911247	1788495678441935641	-
0j	W	request	1788495678441935641	1788495698763363841	-
0j	W	teardown	1788495698763363841	1788495699772937064	-
0j	W	analysis	1788495699772937064	1788495700019386341	-
0j	W	cooldown	1788495700020949294	1788495712212324288	quiescence=reached elapsed_ms=12180 sclk_forced=0
0k	W	launch	1788495712218011413	1788495722388123968	-
0k	W	request	1788495722388123968	1788495742690257815	-
0k	W	teardown	1788495742690257815	1788495743697017570	-
0k	W	analysis	1788495743697017570	1788495743924134924	-
0k	W	cooldown	1788495743925613541	1788495757823690148	quiescence=reached elapsed_ms=13886 sclk_forced=0
0l	W	launch	1788495757830298524	1788495768023222177	-
0l	W	request	1788495768023222177	1788495788326799542	-
0l	W	teardown	1788495788326799542	1788495789307608416	-
0l	W	analysis	1788495789307608416	1788495789554397802	-
0l	W	cooldown	1788495789555365602	1788495802100819537	quiescence=reached elapsed_ms=12533 sclk_forced=0
0m	W	launch	1788495802108254869	1788495812306288410	-
0m	W	request	1788495812306288410	1788495832616234556	-
0m	W	teardown	1788495832616234556	1788495833498841851	-
0m	W	analysis	1788495833498841851	1788495833739697553	-
0m	W	cooldown	1788495833741042894	1788495846423595933	quiescence=reached elapsed_ms=12670 sclk_forced=0
0n	W	launch	1788495846430932710	1788495856629722521	-
0n	W	request	1788495856629722521	1788495876938069841	-
0n	W	teardown	1788495876938069841	1788495877947644494	-
0n	W	analysis	1788495877947644494	1788495878202806240	-
0n	W	cooldown	1788495878204288411	1788495891268965264	quiescence=reached elapsed_ms=13053 sclk_forced=0
0o	W	launch	1788495891274305361	1788495901583471329	-
0o	W	request	1788495901583471329	1788495921897831485	-
0o	W	teardown	1788495921897831485	1788495922915576909	-
0o	W	analysis	1788495922915576909	1788495923170709840	-
0o	W	cooldown	1788495923172057139	1788495936745696837	quiescence=reached elapsed_ms=13563 sclk_forced=0
0p	W	launch	1788495936751362324	1788495947076720074	-
0p	W	request	1788495947076720074	1788495967366882956	-
0p	W	teardown	1788495967366882956	1788495968348882644	-
0p	W	analysis	1788495968348882644	1788495968601311943	-
0p	W	cooldown	1788495968602751497	1788495981384453690	quiescence=reached elapsed_ms=12770 sclk_forced=0
1	C	launch	1788495981388954998	1788495991696053524	-
1	C	request	1788495991696053524	1788496011990834791	-
1	C	teardown	1788496011990834791	1788496013028087608	-
1	C	analysis	1788496013028087608	1788496013265683473	-
1	C	cooldown	1788496013267097240	1788496026352162999	quiescence=reached elapsed_ms=13074 sclk_forced=0
2	K	launch	1788496026356500733	1788496036560285353	-
2	K	request	1788496036560285353	1788496056858933353	-
2	K	teardown	1788496056858933353	1788496057884815378	-
2	K	analysis	1788496057884815378	1788496058135635907	-
2	K	cooldown	1788496058137009108	1788496071388502863	quiescence=reached elapsed_ms=13240 sclk_forced=0
3	K	launch	1788496071392978771	1788496081623245467	-
3	K	request	1788496081623245467	1788496101931152463	-
3	K	teardown	1788496101931152463	1788496102894478292	-
3	K	analysis	1788496102894478292	1788496103145319472	-
3	K	cooldown	1788496103146557299	1788496115997259305	quiescence=reached elapsed_ms=12840 sclk_forced=0
4	C	launch	1788496116003292167	1788496126191862233	-
4	C	request	1788496126191862233	1788496146504183127	-
4	C	teardown	1788496146504183127	1788496147494728054	-
4	C	analysis	1788496147494728054	1788496147727930045	-
4	C	cooldown	1788496147729425079	1788496160493817893	quiescence=reached elapsed_ms=12751 sclk_forced=0
5	C	launch	1788496160500212864	1788496170656268381	-
5	C	request	1788496170656268381	1788496190960789322	-
5	C	teardown	1788496190960789322	1788496191954595639	-
5	C	analysis	1788496191954595639	1788496192199493283	-
5	C	cooldown	1788496192200860206	1788496204530767144	quiescence=reached elapsed_ms=12319 sclk_forced=0
6	K	launch	1788496204536010504	1788496214736928931	-
6	K	request	1788496214736928931	1788496235045871041	-
6	K	teardown	1788496235045871041	1788496236068363806	-
6	K	analysis	1788496236068363806	1788496236316551843	-
6	K	cooldown	1788496236317917515	1788496249679521524	quiescence=reached elapsed_ms=13351 sclk_forced=0
7	K	launch	1788496249683933024	1788496259972452087	-
7	K	request	1788496259972452087	1788496280292594131	-
7	K	teardown	1788496280292594131	1788496281200009121	-
7	K	analysis	1788496281200009121	1788496281428523421	-
