pipeline	id	name	constants	wg_denoms	subgroup	calls_per_graph	workgroups_per_graph	total_bracket_upper_bound_ms	pipeline_bracket_union_ms	exclusive_bracket_ms	ambiguous_overlap_ms	median_us	p90_us	p99_us	max_us	vgprs	sgprs	spilled_vgprs	lds	scratch	subgroups_per_simd	spirv_executed_sha256
pipeline	31	mul_mat_vec_q4_k_f32_f32	64,4,1	4,1,1	64	162.000	121232.0	3161.780	3143.011	3099.628	43.383	199.8	575.7	578.7	591.8	64	48	0	0	0	4	180da20e51c7163aa3af133dfece267092bbc2b706e7cfe91c10da9b91986908
pipeline	27	mul_mat_vec_q6_k_f32_f32	64,4,1	4,1,1	64	25.000	83840.0	2310.753	2310.753	2308.200	2.552	579.5	601.9	23709.3	23753.0	64	48	0	512	0	4	d584d6b41c26085ac1bef3236b4c24e71f0e98ddcf63ff12da46381b0c12c779
pipeline	4	get_rows_f32_f32	-	512,1,1	0	37.000	9868.0	145.895	145.895	139.586	6.309	15.7	116.0	118.2	146.4	4	48	0	0	0	10	fafe80bdb8aa8cbc604b89086ca9c2b9f583a61aeb59485f0753411cf32f11b5
pipeline	16	gated_delta_net_f32_d128	128,0,64,8	1,1,8	64	18.000	4608.0	128.419	128.419	118.569	9.850	112.5	117.8	122.6	159.4	64	48	0	0	0	4	82506bf6a83dcccbd56107c5bd56f2f7848aea36a2237b8591d6db13539c33ba
pipeline	17	contig_cpy_f32_f32	-	512,1,1	0	18.000	9216.0	94.394	94.394	93.482	0.912	82.7	88.2	93.3	104.8	8	32	0	0	0	10	65ad91fafe69ecd250f575d3e64b2feab853293aca2e77b4b5d8adc5cb6a5297
pipeline	2	rms_norm_mul_f32	0,1	1,1,1	0	73.000	391.0	57.853	57.853	54.115	3.737	10.6	20.2	23.7	25.1	40	96	0	2048	0	6	f8ff313d10a2b769f5600531fdf16d56075b901b5025f1f8aef9fe5a9f799193
pipeline	6	concat_i32	-	512,1,1	0	18.000	864.0	37.662	37.662	34.162	3.500	33.0	34.1	34.9	35.2	24	48	0	0	0	10	6730d84ddc1d56579237fd0c9e08ed30249539e84ae9a3e3c3c81471e958c640
pipeline	7	cpy_f32_f32	-	512,1,1	0	24.000	672.0	26.790	26.790	16.440	10.349	21.6	22.2	22.9	23.5	16	48	0	0	0	10	42df294d98fcb62fe55a28d0606af612b3db2974fcfcd1f54a556df93914fe1c
pipeline	8	ssm_conv_silu_f32	32,16,0,1	32,16,1	0	18.000	3456.0	23.779	23.779	20.489	3.290	20.8	21.6	22.9	25.6	12	32	0	0	0	10	e5deee0b5cdb126d8de0c65a8a2b58cf1a5b4aae664cefee20adfa556837b3cc
pipeline	10	l2_norm_f32	-	1,1,1	0	36.000	576.0	22.930	21.028	13.984	7.044	10.1	10.6	11.2	11.8	8	48	0	2048	0	10	a48a4f1949509e775f7c204c146ac883eb9e216a0656e120a74be5e1d215e24e
pipeline	26	flash_attn_f32_f16_aligned	256,4,32,256,256,0,8,4,64,0,2,1664,8,2,34,18	4,1,1	64	6.000	24.0	22.069	22.069	22.069	0.000	56.6	78.4	78.9	79.4	128	80	0	29184	0	2	3cc1200f454f96a623755925419f8e9804b4e68cdcb540aae24dfe8de519d093
pipeline	20	swiglu_f32	-	512,1,1	0	24.000	288.0	14.320	14.320	14.320	0.000	9.6	9.9	11.0	28.6	16	48	0	0	0	10	3f7566971cea1b0c06e0c6f211c001709dcd15cf0dc308c02f0b93c0502aacd6
pipeline	18	mul_f32_f32_f32_norepeat	1	512,1,1	0	42.000	114.0	13.928	13.928	12.523	1.405	5.6	6.1	9.9	23.0	24	48	0	0	0	10	6ad67ad0fc4a583fa1f84b76c5f0efd838711b4847b2566a6d1f871ea43ccccc
pipeline	19	add_f32_f32_f32_norepeat	1	512,1,1	0	30.000	66.0	9.081	9.081	7.487	1.593	4.5	5.4	7.2	22.6	24	48	0	0	0	10	e9d1ca8ae73fa0394f7d210c8cb5f80812450d18f5a171721be082fb5e4ba60b
pipeline	13	sigmoid_f32	-	512,1,1	0	24.000	42.0	7.892	7.892	6.816	1.076	5.1	5.9	6.2	24.3	16	48	0	0	0	10	e7f474fbf06ec2e6c12f0677bd429bfda8615560c00e43c7d553c05b65445bcf
pipeline	15	silu_f32	-	512,1,1	0	18.000	72.0	7.003	7.003	4.606	2.397	5.6	7.2	12.2	27.5	16	48	0	0	0	10	e20bc2d5aeffd5c5fe32f2d9fbbb7225959daeebbd356c5a88f303e18ad75795
pipeline	21	rope_multi_f32	-	1,512,1	0	12.000	60.0	5.086	5.086	2.636	2.450	6.6	7.2	8.2	23.8	8	48	0	0	0	10	39e1c217020d1f89b8f019242240cd9e12ce578d34ddad4957e6badd2c21a9cd
pipeline	12	softplus_f32	-	512,1,1	0	18.000	18.0	4.791	4.791	3.847	0.944	4.2	4.5	6.7	7.0	16	48	0	0	0	10	ce00a9a0d18b3e3c33166257497ba64c9cd781f31a70935ae80ce5f292511916
pipeline	22	fwht_f32	64,64	1,1,1	64	12.000	60.0	3.551	3.551	2.078	1.472	4.5	5.4	5.6	10.9	12	32	0	0	0	10	5c4b882c6eb2f31c1db6d38767961eb6f1285aa40903fcf53d13261fab2f86f1
pipeline	23	fwht_f32	64,256	1,1,1	64	12.000	18.0	3.171	3.171	2.008	1.163	4.2	5.4	5.4	5.8	24	32	0	0	0	10	5c4b882c6eb2f31c1db6d38767961eb6f1285aa40903fcf53d13261fab2f86f1
pipeline	34	fa_split_k_reduce	64	1,64,1	0	6.000	192.0	2.845	2.845	1.299	1.546	7.4	8.2	8.5	8.6	8	48	0	512	0	10	8aa2495b3ab340f0d2515d5f53116f20c8d7b2633148c1103d5a2b89ab84d23f
pipeline	32	add_rms_f32_f32_f32_norepeat	1	512,1,1	0	6.000	24.0	2.665	2.665	2.665	0.000	6.7	7.8	8.6	22.4	24	48	0	512	0	10	4a0e24d19c8c6e63f6d32ae7aaa5a2e0a71f07fee9b5460788c0ce8ceaeb6526
pipeline	24	set_rows_f32_q8_0_i64	1	1,1,1	0	6.000	6.0	2.459	2.459	1.261	1.198	6.6	6.7	6.9	7.0	36	48	0	0	0	7	427d0d6317f69c2f9b37fee9808878045f448c9784a933c4f46186dfc4c12f4e
pipeline	25	set_rows_f32_q4_0_i64	1	1,1,1	0	6.000	6.0	2.223	2.223	1.025	1.198	5.9	6.2	6.4	8.5	36	48	0	0	0	7	791d4ebc56762d2f815849ddf1c60967eb7f537a7784ad1208cd5e02b96dfd8a
pipeline	33	rms_norm_mul_partials_f32	0,1	1,1,1	0	6.000	96.0	1.853	1.853	1.853	0.000	4.8	5.1	5.3	5.8	32	48	0	0	0	8	6b9374d29b32900020773c720f3f8d7e8d66264beafb9c0cfd1344e4886ca3eb
pipeline	1	get_rows_q6_k_f32	-	1024,1,1	0	1.000	2.0	1.206	1.206	1.205	0.001	19.4	19.8	20.3	20.5	20	48	0	0	0	10	3251a3841eeda1de85ad3ed8abd3fc75d6e733913dcef1664d659c56ee3f828a
graphs	decode	63	raw_bracket_sum_ms_per_graph=97.054	bracket_union_ms_per_graph=96.038	exclusive_ms_per_graph=95.022	ambiguous_overlap_ms_per_graph=1.016	same_pipeline_overlap_ms_per_graph=0.328	cross_pipeline_overlap_ms_per_graph=0.688	overlap_ms_per_graph=1.016	overlap_fraction=0.0106	cross_pipeline_overlap_fraction=0.0072	overlap_threshold=0.0500	ownership=conclusive	queue_non_dispatch_ms_per_graph=1.897	queue_completion_span_ms_per_graph=97.935	retire_span_ms_per_graph=99.532	record_ms_per_graph=16.691	readback_ms_per_graph=0.046	dispatch_row_emit_ms_per_graph=0.152	total_emit_ms_per_graph=0.152	flush_ms_per_graph=0.000	residual_ms_per_graph=1.597	submits_per_graph=40.000	read_at=synchronize	device=Vulkan0	serialize_submissions=0	contexts=2	selected_context=2
