block	first_line	last_line	terminator	instructions	valu	vmem	lds	salu	waitcnt	longest_valu_chain	max_vmem_in_flight	max_lgkm_in_flight	vmcnt_arguments	lgkmcnt_arguments
1	2	9	s_cbranch_scc0	8	0	0	0	7	1	0	0	1	-	0
2	11	13	s_cbranch_scc0	3	0	0	0	3	0	0	0	0	-	-
3	15	78	s_branch	64	15	0	0	49	0	5	0	0	-	-
4	80	80	-	1	0	0	0	1	0	0	0	0	-	-
5	82	96	s_cbranch_execz	15	11	0	0	4	0	5	0	0	-	-
6	98	136	-	39	10	0	0	29	0	1	0	0	-	-
7	138	793	-	656	603	28	0	4	21	13	16	0	15,14,13,12,11,10,9,11,10,9,0,8,7,6,5,4,3,2,1,0	0
8	795	796	s_cbranch_scc1	2	0	0	0	2	0	0	0	0	-	-
9	798	798	-	1	0	0	0	1	0	0	0	0	-	-
10	800	801	s_cbranch_execz	2	0	0	0	2	0	0	0	0	-	-
11	803	810	-	8	8	0	0	0	0	1	0	0	-	-
12	812	940	-	129	64	0	0	65	0	8	0	0	-	-
13	942	943	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
14	945	957	s_branch	13	2	0	0	9	2	2	0	1	-	0,0
15	959	960	-	2	1	0	0	1	0	1	0	0	-	-
16	962	963	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
17	965	976	s_branch	12	1	0	0	9	2	1	0	1	-	0,0
18	978	978	-	1	0	0	0	1	0	0	0	0	-	-
19	980	989	s_cbranch_scc0	10	0	1	0	8	1	0	0	1	-	0
20	991	999	s_branch	9	2	0	0	5	2	2	0	1	-	0,0
21	1001	1002	-	2	1	0	0	1	0	1	0	0	-	-
22	1004	1005	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
23	1007	1014	s_branch	8	1	0	0	5	2	1	0	1	-	0,0
24	1016	1016	-	1	0	0	0	1	0	0	0	0	-	-
25	1018	1021	s_cbranch_scc0	4	0	1	0	3	0	0	0	0	-	-
26	1023	1031	s_branch	9	2	0	0	5	2	2	0	1	-	0,0
27	1033	1034	-	2	1	0	0	1	0	1	0	0	-	-
28	1036	1037	s_cbranch_scc0	2	0	0	0	2	0	0	0	0	-	-
29	1039	1046	s_branch	8	1	0	0	5	2	1	0	1	-	0,0
30	1048	1048	-	1	0	0	0	1	0	0	0	0	-	-
31	1050	1053	s_cbranch_scc0	4	0	1	0	3	0	0	0	0	-	-
32	1055	1063	s_branch	9	2	0	0	5	2	2	0	1	-	0,0
33	1065	1066	-	2	1	0	0	1	0	1	0	0	-	-
