arm	ctx_checkpoints	turn	prompt_n	prompt_ms	predicted_n	predicted_ms	prompt_tok_s	decode_tok_s	prefill_saved_ms
1	0	1	30725	684543.440	32	4528.187	44.884	7.067	-
1	0	2	30748	708022.911	32	5468.390	43.428	5.852	-23479.471
2	2	1	30725	701919.523	32	4863.388	43.773	6.580	-
2	2	2	27	2270.953	32	4440.478	11.889	7.206	699648.570
3	2	1	30725	727466.305	32	4340.244	42.236	7.373	-
3	2	2	27	2207.023	32	4369.689	12.234	7.323	725259.282
4	0	1	30725	678715.953	32	4342.295	45.269	7.369	-
4	0	2	30748	679439.084	32	4334.856	45.255	7.382	-723.131
