slot	arm	tok_s	sclk_mode_mhz	mclk_mode_mhz	temp_mean_c	temp_max_c	busy_mean_percent	samples	sclk_share
0a	W	9.231	1100	933	78.0	85.0	91.16	373	1.0000
1	C	9.714	1100	933	72.9	74.0	94.22	356	1.0000
2	K	9.641	1100	933	73.9	75.0	92.43	358	1.0000
3	K	9.414	1100	933	73.9	75.0	90.35	368	1.0000
4	C	9.744	1100	933	70.7	72.0	94.53	355	1.0000
5	C	9.425	1100	933	70.1	72.0	94.44	366	1.0000
6	K	9.935	1100	933	74.1	79.0	94.48	349	1.0000
7	K	9.738	1100	933	74.1	78.0	92.99	356	1.0000
8	C	9.300	1100	933	72.8	75.0	91.91	368	1.0000
