# clock=CLOCK_MONOTONIC period_ns=20000000 drm_device=/sys/class/drm/card1/device hwmon=/sys/class/hwmon/hwmon6
# interpretation: pp_dpm_sclk_selected_mhz is the selected graphics clock step; pp_dpm_mclk_surface_mhz is the pp_dpm_mclk sysfs surface, which on SMU10 is a fabric-clock state rather than the trained DRAM speed; pp_dpm_fclk_surface_mhz is the pp_dpm_fclk sysfs surface
# sampler_pid=3866292 nice=19 cpu_affinity=0,1 sampler_format=native-fresh-v1
monotonic_ns	pp_dpm_sclk_selected_mhz	pp_dpm_mclk_surface_mhz	pp_dpm_fclk_surface_mhz	gpu_busy_percent	temp1_millidegrees	sample_cost_ns
807628635706201	1100	933	unavailable	99	71000	999003
807628655698951	1100	933	unavailable	99	71000	559900
807628675700207	1100	933	unavailable	99	71000	636123
807628695701052	1100	933	unavailable	99	71000	1156829
807628715682621	1100	933	unavailable	99	71000	723637
807628735701309	1100	933	unavailable	99	71000	588644
807628755701012	1100	933	unavailable	99	71000	1273989
807628775708610	1100	933	unavailable	99	71000	779883
807628795679409	1100	933	unavailable	99	70000	504356
807628815696013	1100	933	unavailable	99	70000	1241208
807628835674426	1100	933	unavailable	99	70000	966904
807628855667256	1100	933	unavailable	99	70000	459632
807628876031994	1100	933	unavailable	99	70000	1104341
807628895690176	1100	933	unavailable	99	70000	993303
807628915701772	1100	933	unavailable	98	70000	652283
807628935684633	1100	933	unavailable	98	70000	380934
807628955683324	1100	933	unavailable	98	70000	1015674
807628975669942	1100	933	unavailable	98	70000	532699
807628995677640	1100	933	unavailable	99	70000	485451
807629015703342	1100	933	unavailable	99	70000	1244774
807629035676725	1100	933	unavailable	99	70000	773230
807629055674244	1100	933	unavailable	99	70000	467447
807629075677583	1100	933	unavailable	99	70000	1089783
807629095691743	1100	933	unavailable	99	70000	902052
807629115682580	1100	933	unavailable	99	70000	484208
807629135671392	1100	933	unavailable	99	70000	456086
807629155686955	1100	933	unavailable	99	70000	1018380
807629175674796	1100	933	unavailable	99	70000	549210
807629195681601	1100	933	unavailable	99	70000	476223
807629215704959	1100	933	unavailable	99	70000	1128777
807629235714561	1100	933	unavailable	99	70000	674014
807629255699085	1100	933	unavailable	99	70000	490540
807629275737130	1100	933	unavailable	99	70000	1212664
807629295723678	1100	933	unavailable	99	70000	768401
807629315670141	1100	933	unavailable	99	70000	268163
807629335702665	1100	933	unavailable	99	70000	1065328
807629355698261	1100	933	unavailable	99	70000	929182
807629375709174	1100	933	unavailable	99	70000	540583
807629395683439	1100	933	unavailable	99	70000	524123
807629416089725	1100	933	unavailable	99	70000	612098
807629435688226	1100	933	unavailable	99	69000	537508
807629455668853	1100	933	unavailable	99	69000	432330
807629477023076	1100	933	unavailable	99	69000	1063524
807629495689198	1100	933	unavailable	99	69000	656511
807629515703268	1100	933	unavailable	98	69000	569778
807629535683073	1100	933	unavailable	98	69000	1018420
807629555688878	1100	933	unavailable	98	69000	743824
807629575674103	1100	933	unavailable	98	69000	487144
807629595675559	1100	933	unavailable	99	69000	1083171
807629615699698	1100	933	unavailable	99	69000	884258
807629635682489	1100	933	unavailable	99	69000	577042
807629655682843	1100	933	unavailable	99	69000	484258
807629675678388	1100	933	unavailable	99	69000	995867
807629695700994	1100	933	unavailable	99	69000	598322
807629715683374	1100	933	unavailable	99	69000	478768
807629735671114	1100	933	unavailable	99	69000	1101446
807629755700052	1100	933	unavailable	99	69000	666861
807629775689266	1100	933	unavailable	99	69000	535594
807629795694970	1100	933	unavailable	99	69000	1114149
807629815688000	1100	933	unavailable	99	69000	776035
807629835699525	1100	933	unavailable	99	69000	597510
807629855683158	1100	933	unavailable	99	69000	1072220
807629875704271	1100	933	unavailable	99	69000	850525
807629895697892	1100	933	unavailable	99	69000	630483
807629915714156	1100	933	unavailable	99	69000	1157060
807629935705193	1100	933	unavailable	99	69000	972964
807629955726757	1100	933	unavailable	99	69000	701986
807629975724677	1100	933	unavailable	99	69000	1263809
807629995684384	1100	933	unavailable	99	69000	1106815
807630018044172	1100	933	unavailable	99	69000	1196013
807630036032754	1100	933	unavailable	99	69000	1220609
807630055667933	1100	933	unavailable	99	69000	915858
807630075668698	1100	933	unavailable	99	69000	729398
807630095679622	1100	933	unavailable	99	69000	396263
807630115678143	1100	933	unavailable	98	69000	1205250
807630135679849	1100	933	unavailable	98	69000	886202
807630155686756	1100	933	unavailable	98	69000	573705
807630175683132	1100	933	unavailable	98	69000	1179452
807630195685550	1100	933	unavailable	99	69000	994475
807630215689882	1100	933	unavailable	99	69000	583243
807630235674386	1100	933	unavailable	99	69000	489398
807630255675892	1100	933	unavailable	99	69000	1073042
807630275693939	1100	933	unavailable	99	68000	676118
807630295675328	1100	933	unavailable	99	68000	341600
807630315674780	1100	933	unavailable	99	68000	1102017
807630335707445	1100	933	unavailable	99	68000	775454
807630355675829	1100	933	unavailable	99	68000	472907
807630375674259	1100	933	unavailable	99	68000	1071740
807630397056485	1100	933	unavailable	99	68000	1154274
807630415698792	1100	933	unavailable	99	68000	653796
807630435677246	1100	933	unavailable	99	68000	485660
807630455681417	1100	933	unavailable	99	68000	1010364
807630475675629	1100	933	unavailable	99	68000	535114
807630495674039	1100	933	unavailable	99	68000	493346
807630515691155	1100	933	unavailable	99	68000	1090325
807630535685638	1100	933	unavailable	99	68000	653886
807630555675593	1100	933	unavailable	99	68000	451617
807630575734166	1100	933	unavailable	99	68000	1187467
807630595688865	1100	933	unavailable	99	68000	748774
807630615744402	1100	933	unavailable	99	68000	463830
807630637039985	1100	933	unavailable	99	68000	1214317
807630655676892	1100	933	unavailable	99	68000	847960
807630675672898	1100	933	unavailable	99	68000	428574
807630697029986	1100	933	unavailable	99	68000	494357
807630715690758	1100	933	unavailable	98	68000	1025573
807630735680152	1100	933	unavailable	98	68000	528911
807630755672941	1100	933	unavailable	98	68000	492634
807630775694876	1100	933	unavailable	98	68000	1172829
807630795681824	1100	933	unavailable	99	68000	640902
807630815681017	1100	933	unavailable	99	68000	495980
807630835685839	1100	933	unavailable	99	68000	1216411
807630855688818	1100	933	unavailable	99	68000	756689
807630875674114	1100	933	unavailable	99	68000	452939
807630895690889	1100	933	unavailable	99	68000	1212864
807630915680983	1100	933	unavailable	99	68000	851767
807630935674033	1100	933	unavailable	99	68000	437831
807630955688884	1100	933	unavailable	99	68000	1155517
807630975677476	1100	933	unavailable	99	68000	954760
807630995674404	1100	933	unavailable	99	68000	520015
807631015703302	1100	933	unavailable	99	68000	421230
807631035674631	1100	933	unavailable	99	68000	1090405
807631055705542	1100	933	unavailable	99	67000	624020
807631075722577	1100	933	unavailable	99	67000	634600
807631095679680	1100	933	unavailable	99	67000	1093631
807631115699711	1100	933	unavailable	99	67000	767720
807631135706087	1100	933	unavailable	99	67000	510327
807631155703715	1100	933	unavailable	99	67000	1026064
807631176062711	1100	933	unavailable	99	67000	742924
807631195689125	1100	933	unavailable	99	67000	636163
807631215677506	1100	933	unavailable	99	67000	486382
807631235675416	1100	933	unavailable	99	67000	972674
807631255693874	1100	933	unavailable	99	67000	483757
807631275677005	1100	933	unavailable	99	67000	450004
807631295675476	1100	933	unavailable	99	67000	1066199
807631315716316	1083	933	unavailable	97	67000	838522
807631335681143	1100	933	unavailable	98	67000	400231
807631355684963	1100	933	unavailable	98	67000	882034
807631375695016	1100	933	unavailable	98	67000	805009
807631395692454	1100	933	unavailable	99	67000	642084
807631415683952	1100	933	unavailable	99	67000	1038417
807631435693653	1100	933	unavailable	99	67000	870783
807631455689398	1100	933	unavailable	99	67000	626475
807631475685675	1100	933	unavailable	99	67000	1150087
807631495671090	1100	933	unavailable	99	67000	959199
807631515726698	1100	933	unavailable	99	67000	674375
807631535724097	1100	933	unavailable	99	67000	1237029
807631555706357	1100	933	unavailable	99	67000	1052834
807631575696522	1100	933	unavailable	99	67000	638818
807631595699711	1100	933	unavailable	99	67000	586500
807631615706447	1100	933	unavailable	99	67000	1056201
