field	expected	observed	state
server_sha256	4844d0dcaa9e12c9a701c6fdf81d955be7ec254b39d074928108cde7bbe25e8d	4844d0dcaa9e12c9a701c6fdf81d955be7ec254b39d074928108cde7bbe25e8d	bound
server_bytes	58132216	58132216	bound
model_bytes	2783446304	2783446304	bound
model_sha256	dec96e8cf2e11b613bb46513dec485377f9ca5a351e71712ee0e244f287c6790	dec96e8cf2e11b613bb46513dec485377f9ca5a351e71712ee0e244f287c6790	bound
runtime_tree_git_head	12082933e9f8014795e6952feae999c88ec5ff76	12082933e9f8014795e6952feae999c88ec5ff76	bound
runtime_tree_remote_payload_sha256	7ea949b47d64923ed6aac12a576a8d5cadb2d7d4bfe04152477c9984fcb50915	7ea949b47d64923ed6aac12a576a8d5cadb2d7d4bfe04152477c9984fcb50915	bound
runtime_tree_patches_payload_sha256	74c70591f6fd83fdc7c4f9bf6c6e0dd6fad749fc67d38187abf7c88e55daa3d2	74c70591f6fd83fdc7c4f9bf6c6e0dd6fad749fc67d38187abf7c88e55daa3d2	bound
runtime_tree_checker_sha256	75c5c1734042926bb8dd95cf7d7b2bebf6c21513af97e8f21d48f0dc2dfe4c89	75c5c1734042926bb8dd95cf7d7b2bebf6c21513af97e8f21d48f0dc2dfe4c89	bound
runtime_tree_verified	verified	verified	bound
artifact_ledger_sha256	dcf46173a9bac5ebc6e7eea125ead7877502f0e11a46c6dacbb7a856dde87d1f	dcf46173a9bac5ebc6e7eea125ead7877502f0e11a46c6dacbb7a856dde87d1f	bound
served_runner_sha256	885f4cb0fd8bbae353cb680749c4760f1953fb92a4ea02fc6541aa683d5d9b9d	885f4cb0fd8bbae353cb680749c4760f1953fb92a4ea02fc6541aa683d5d9b9d	bound
request_sha256	311337b08fe1c162ed20fb7642812d90517bf381795bd8b7ee0e895fc5644714	311337b08fe1c162ed20fb7642812d90517bf381795bd8b7ee0e895fc5644714	bound
