field	value
schema	q8-sampler-cost-tuple-v1
acquisition	q8-census-calibration-20260908T175234Z
arm	09-P
broker_source_sha256	f858164715ce1bc18aebb46fc9f5019eea3279b52b3c514d16466430253e32fa
validator_source_sha256	cbfb6db4358a58340473570cf745f63b6b13bf3b5ec06845109945d6ed9cb7d3
runner_source_sha256	7b1ef94a75dc299ee9d1b8e328e3ab64398dacc3cd2040cdd33cf467f881c316
sidecar_sha256	7065204fce732625ef469ae9fa27bdc5ccb2f393af7a6258cba16b1fc63b2ad6
record_format	legacy-eight-column-broker
sample_cost_semantics	clock-monotonic-end-minus-begin-for-complete-iteration
scheduler_attribution	none
gpu_busy_period_ns	20000000
dpm_period_ns	200000000
temperature_period_ns	200000000
memory_period_ns	2000000000
host_period_ns	2000000000
cpu_affinity	0,1
nice	19
admission_denominator	all-retained-rows
admission_reduction	integer-floor-mean-sample-cost-ns
admission_bound_ns	1000000
retained_rows	748
retained_cost_sum_ns	776487760
retained_mean_cost_ns	1038085
verdict	refused
