mnemonic	f1_stock	f2_target_aware
buffer_load_dword	14	14
buffer_load_dwordx4	42	42
buffer_store_dword	2	2
s_add_u32	30	30
s_and_b32	2	2
s_and_b64	1	1
s_andn2_b64	2	2
s_bitcmp1_b32	4	4
s_branch	6	6
s_buffer_load_dword	4	4
s_cbranch_execz	5	5
s_cbranch_scc0	17	17
s_cbranch_scc1	1	1
s_cmp_ge_u32	19	19
s_cmp_lg_i32	9	9
s_cmp_lt_u32	1	1
s_cselect_b32	8	8
s_cselect_b64	1	1
s_endpgm	1	1
s_load_dword	1	1
s_load_dwordx4	16	16
s_load_dwordx8	3	3
s_lshl_b32	8	8
s_lshr_b32	6	6
s_mov_b32	27	27
s_mov_b64	13	13
s_movk_i32	12	12
s_mul_hi_u32	12	12
s_mul_i32	31	31
s_nop	12	12
s_or_saveexec_b64	2	2
s_sub_i32	21	21
s_waitcnt	65	65
v_add3_u32	98	140
v_add_f32_dpp	12	12
v_add_f32_e32	4	4
v_add_u32_e32	160	90
v_and_b32_e32	114	114
v_and_or_b32	28	28
v_bfe_u32	42	42
v_cmp_gt_u32_e32	16	16
v_cmpx_gt_u32_e32	2	2
v_cmpx_le_u32_e32	2	2
v_cmpx_ne_i32_e32	2	2
v_cndmask_b32_e32	56	56
v_cndmask_b32_e64	4	4
v_cvt_f32_f16_e32	28	28
v_cvt_f32_f16_sdwa	28	28
v_cvt_f32_i32_e32	14	14
v_cvt_f32_u32_e32	6	6
v_cvt_f32_ubyte0_e32	28	28
v_cvt_u32_f32_e32	6	6
v_lshl_add_u32	84	84
v_lshlrev_b32_e32	92	92
v_lshrrev_b32_e32	168	168
v_mac_f32_e32	14	14
v_mad_f32	14	14
v_mov_b32_e32	20	17
v_mul_f32_e32	48	48
v_mul_i32_i24_sdwa	224	224
v_rcp_f32_e32	6	6
v_readfirstlane_b32	6	6
v_readlane_b32	2	2
