relative_path	source_sha256	retained_sha256	substitutions
gpu-decomp/isa/isa.gfx906.s	ae1e5d6fc0f51b46562afab6fbca9cb80336ea7a12fb647fe8b7e5e2a66e757a	ae1e5d6fc0f51b46562afab6fbca9cb80336ea7a12fb647fe8b7e5e2a66e757a	0
gpu-decomp/isa/isa.gfx900.s	ddda6c4df577043344b7830bc377256ded7c79407723f6cfb3f26e43ca90b4ef	ddda6c4df577043344b7830bc377256ded7c79407723f6cfb3f26e43ca90b4ef	0
gpu-decomp/isa/isa.gfx909.s	49a68130cce60dbd21cff331472bb013582432e2450e6585eead7153e223e6f1	49a68130cce60dbd21cff331472bb013582432e2450e6585eead7153e223e6f1	0
gpu-decomp/isa/isa.gfx90c.s	611b3d0020ad11ede6c6e0b1a9a7ec9e7ef2e9532dc0564bd844c8c7b459bd72	611b3d0020ad11ede6c6e0b1a9a7ec9e7ef2e9532dc0564bd844c8c7b459bd72	0
gpu-decomp/isa/battery.cl	a0b240cbd439296b21f1f4e54bc00adaeed8babbc1429fd120876451e6bf207d	a0b240cbd439296b21f1f4e54bc00adaeed8babbc1429fd120876451e6bf207d	0
gpu-decomp/isa/isa.gfx902.s	a0191d04b94e6b08fecc7499b6e8b48f1260996ace427db2ac3180930cb08e96	a0191d04b94e6b08fecc7499b6e8b48f1260996ace427db2ac3180930cb08e96	0
gpu-decomp/raven2-vbios.rom	6d73e8a862b98b7ab8711648d6f7c12df7686f56726347efb6e821e995bb202d	6d73e8a862b98b7ab8711648d6f7c12df7686f56726347efb6e821e995bb202d	binary
hp-memory-firmware-rca/native-firmware-paths.txt	ab2787adb6cd22027d332ba15049ee5484c7deac9cd1dedf473e509f259a1b6d	fe41aa46d7fc8fdf7a1a4353135ae8f38baf8ac4a06b94a4f8020812e47ebe31	1
hp-memory-firmware-rca/hp-firmware-native-paths-readonly.sh	cff3b86e43ca1b3b4b1c5a0e6211902a095cd70d971da7c8c01bd103e24798a9	cff3b86e43ca1b3b4b1c5a0e6211902a095cd70d971da7c8c01bd103e24798a9	0
hp-memory-firmware-rca/ryzen_smu-werror-build.log	fdda33f76863a1d4b692eeb25bc1cf1ff353b7da2514f4d3bfc6eb4eb7a9e279	2f0e996c78c32d2fc6db96e7c73b589a251c770c71c65921e7ddd8a3c4708556	4
hp-memory-firmware-rca/stress-ng-install.log	ba7959132fec5e29007a5ec44bfb02e9e77e7d5811db886ffa40facc219cbc1f	ba7959132fec5e29007a5ec44bfb02e9e77e7d5811db886ffa40facc219cbc1f	0
hp-memory-firmware-rca/baseline-platform-memory.txt	37d17ba79c65ce2ce34ffc876ae8f6363e40b2b9159767ef537507b73f7ba9f0	37d17ba79c65ce2ce34ffc876ae8f6363e40b2b9159767ef537507b73f7ba9f0	0
hp-memory-firmware-rca/mclk-under-memory-stress.txt	92a19de7df196be46810dd3ffa89812dedef10e31d3b1a0dace218d722255ed1	92a19de7df196be46810dd3ffa89812dedef10e31d3b1a0dace218d722255ed1	0
