slot	arm	phase	begin_ns	end_ns	note
0a	W	launch	1788390761944392486	1788390770046660242	-
0a	W	request	1788390770046660242	1788390777215157964	-
0a	W	teardown	1788390777215157964	1788390778144090000	-
0a	W	analysis	1788390778144090000	1788390779492335789	-
0a	W	cooldown	1788390779493887372	1788390792502084702	quiescence=reached elapsed_ms=12998 sclk_forced=1
1	C	launch	1788390792506714145	1788390800581149269	-
1	C	request	1788390800581149269	1788390807775707518	-
1	C	teardown	1788390807775707518	1788390808608781395	-
1	C	analysis	1788390808608781395	1788390809937188288	-
1	C	cooldown	1788390809938123464	1788390822075893014	quiescence=reached elapsed_ms=12125 sclk_forced=1
2	K	launch	1788390822080608298	1788390830207026150	-
2	K	request	1788390830207026150	1788390837218090661	-
2	K	teardown	1788390837218090661	1788390838305218300	-
2	K	analysis	1788390838305218300	1788390839628102474	-
2	K	cooldown	1788390839629069650	1788390851203278024	quiescence=reached elapsed_ms=11561 sclk_forced=1
3	K	launch	1788390851207903460	1788390859333250934	-
3	K	request	1788390859333250934	1788390866336272308	-
3	K	teardown	1788390866336272308	1788390867383719960	-
3	K	analysis	1788390867383719960	1788390868688836855	-
3	K	cooldown	1788390868689777030	1788390881750703641	quiescence=reached elapsed_ms=13046 sclk_forced=1
4	C	launch	1788390881756431777	1788390889860405988	-
4	C	request	1788390889860405988	1788390897054288006	-
4	C	teardown	1788390897054288006	1788390898190288120	-
4	C	analysis	1788390898190288120	1788390899522433420	-
4	C	cooldown	1788390899523281011	1788390911610487254	quiescence=reached elapsed_ms=12077 sclk_forced=1
5	C	launch	1788390911615126916	1788390919549778089	-
5	C	request	1788390919549778089	1788390926692327580	-
5	C	teardown	1788390926692327580	1788390927635572980	-
5	C	analysis	1788390927635572980	1788390928946007667	-
5	C	cooldown	1788390928946927254	1788390942121069520	quiescence=reached elapsed_ms=13163 sclk_forced=1
6	K	launch	1788390942125696037	1788390950289298623	-
6	K	request	1788390950289298623	1788390957305237497	-
6	K	teardown	1788390957305237497	1788390958328160592	-
6	K	analysis	1788390958328160592	1788390959623527951	-
6	K	cooldown	1788390959624535894	1788390971573774409	quiescence=reached elapsed_ms=11940 sclk_forced=1
7	K	launch	1788390971578426906	1788390979525797925	-
7	K	request	1788390979525797925	1788390986561358641	-
7	K	teardown	1788390986561358641	1788390987599286961	-
7	K	analysis	1788390987599286961	1788390988921342631	-
7	K	cooldown	1788390988922216532	1788391002169097709	quiescence=reached elapsed_ms=13238 sclk_forced=1
8	C	launch	1788391002173744324	1788391010310557363	-
8	C	request	1788391010310557363	1788391017477028502	-
8	C	teardown	1788391017477028502	1788391018411968807	-
8	C	analysis	1788391018411968807	1788391019758073731	-
8	C	cooldown	1788391019759030488	1788391031412018881	quiescence=reached elapsed_ms=11638 sclk_forced=1
-	-	campaign	1788390761932939439	1788391031505735396	-
