slot	arm	tok_s	sclk_mode_mhz	mclk_mode_mhz	temp_mean_c	temp_max_c	busy_mean_percent	samples	sclk_share
1	C	9.595	1100	933	73.2	75.0	94.18	360	1.0000
2	K	9.874	1100	933	73.0	74.0	94.81	350	1.0000
3	K	9.893	1100	933	73.2	74.0	94.61	351	1.0000
4	C	9.657	1100	933	73.3	74.0	94.04	360	1.0000
5	C	9.679	1100	933	73.0	74.0	94.87	357	1.0000
6	K	9.869	1100	933	72.7	74.0	94.52	351	1.0000
7	K	9.853	1100	933	72.7	74.0	94.65	351	1.0000
8	C	9.646	1100	933	72.5	74.0	94.43	358	1.0000
0a	W	9.657	1100	933	75.5	81.0	94.45	359	1.0000
