slot	arm	server_sha256	predicted_n	predicted_ms	tok_s	census_rows	sidecar	ownership	status	sclk_mode_mhz	sclk_share	regime_delta	clock_invariant	below_required_fraction
0a	W	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6523.929	9.657	43608	on	conclusive	completed	1100	1.0000	-	held	0.0000
1	C	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6565.856	9.595	43608	on	conclusive	completed	1100	1.0000	-	held	0.0000
2	K	741a0d7625625ebbc98a37078eadf5ee87a5368d3212a9475a7e7748dcbb5178	64	6380.089	9.874	43608	on	conclusive	completed	1100	1.0000	-	held	0.0000
3	K	741a0d7625625ebbc98a37078eadf5ee87a5368d3212a9475a7e7748dcbb5178	64	6368.294	9.893	43608	on	conclusive	completed	1100	1.0000	-	held	0.0000
4	C	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6523.720	9.657	43608	on	conclusive	completed	1100	1.0000	-	held	0.0000
5	C	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6509.031	9.679	43608	on	conclusive	completed	1100	1.0000	-	held	0.0000
6	K	741a0d7625625ebbc98a37078eadf5ee87a5368d3212a9475a7e7748dcbb5178	64	6383.489	9.869	43608	on	conclusive	completed	1100	1.0000	-	held	0.0000
7	K	741a0d7625625ebbc98a37078eadf5ee87a5368d3212a9475a7e7748dcbb5178	64	6393.834	9.853	43608	on	conclusive	completed	1100	1.0000	-	held	0.0000
8	C	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	6531.084	9.646	43608	on	conclusive	completed	1100	1.0000	-	held	0.0000
