slot	arm	phase	begin_ns	end_ns	note
0a	W	launch	1788630338683266361	1788630353800320061	-
0a	W	request	1788630353800320061	1788630377303327155	-
0a	W	teardown	1788630377303327155	1788630378912130473	-
0a	W	analysis	1788630378912130473	1788630381164216153	-
0a	W	cooldown	1788630381165164004	1788630427452408466	quiescence=reached elapsed_ms=46275 sclk_forced=1
1	C	launch	1788630427462526549	1788630444105215117	-
1	C	request	1788630444105215117	1788630465698785311	-
1	C	teardown	1788630465698785311	1788630466866317827	-
1	C	analysis	1788630466866317827	1788630469218139551	-
1	C	cooldown	1788630469219303862	1788630525575951622	quiescence=reached elapsed_ms=56324 sclk_forced=1
2	K	launch	1788630525581940130	1788630540816524438	-
2	K	request	1788630540816524438	1788630560834547624	-
2	K	teardown	1788630560834547624	1788630562095735895	-
2	K	analysis	1788630562095735895	1788630564169353333	-
2	K	cooldown	1788630564173211374	1788630629122146182	quiescence=reached elapsed_ms=64932 sclk_forced=1
3	K	launch	1788630629129950184	1788630644630113548	-
3	K	request	1788630644630113548	1788630664592044032	-
3	K	teardown	1788630664592044032	1788630665878405772	-
3	K	analysis	1788630665878405772	1788630667966231827	-
3	K	cooldown	1788630667967346731	1788630706286570340	quiescence=reached elapsed_ms=38289 sclk_forced=1
4	C	launch	1788630706291579982	1788630721421339576	-
4	C	request	1788630721421339576	1788630742749866788	-
4	C	teardown	1788630742749866788	1788630743949331824	-
4	C	analysis	1788630743949331824	1788630746161014493	-
4	C	cooldown	1788630746161977628	1788630762437112869	quiescence=reached elapsed_ms=16260 sclk_forced=1
5	C	launch	1788630762441803226	1788630777032881375	-
5	C	request	1788630777032881375	1788630798292815466	-
5	C	teardown	1788630798292815466	1788630799666213896	-
5	C	analysis	1788630799666213896	1788630801968908658	-
5	C	cooldown	1788630801969957171	1788630905849311776	quiescence=reached elapsed_ms=103866 sclk_forced=1
6	K	launch	1788630905855026129	1788630920845952652	-
6	K	request	1788630920845952652	1788630940541534433	-
6	K	teardown	1788630940541534433	1788630941655233993	-
6	K	analysis	1788630941655233993	1788630943760719875	-
6	K	cooldown	1788630943761683834	1788631026252141271	quiescence=reached elapsed_ms=82480 sclk_forced=1
7	K	launch	1788631026257562369	1788631041218950418	-
7	K	request	1788631041218950418	1788631060896050218	-
7	K	teardown	1788631060896050218	1788631061891104092	-
7	K	analysis	1788631061891104092	1788631063781794612	-
7	K	cooldown	1788631063782958301	1788631183247224305	quiescence=reached elapsed_ms=119454 sclk_forced=1
8	C	launch	1788631183252235762	1788631196171071467	-
8	C	request	1788631196171071467	1788631218578411749	-
8	C	teardown	1788631218578411749	1788631219553411495	-
8	C	analysis	1788631219553411495	1788631221471828568	-
8	C	cooldown	1788631221472770228	1788631237322170721	quiescence=reached elapsed_ms=15840 sclk_forced=1
-	-	campaign	1788630338640668455	1788631237438703301	-
