field	value	per_superblock
run_mode	device	-
spirv_path	$SCRATCH/spv4/mul_mat_vec_q4_k_v1_f32_f32_subgroup_no_shmem.spv	-
spirv_sha256	c2af051ad2d0022ed9f1b3527cf9e51e4089fb875ac02e6c5524d7ac9d5c111f	-
spirv_bytes	19572	-
nir_sha256	2e3630334c8796523ac18ed32da408ed3c5b80393c5a62d979ebc891dd2efe15	-
isa_sha256	908b31fead0394728664323a8f3f60195b48b7c3435066712c521dba54bb9373	-
device_name	AMD Ryzen 5 5600X3D 6-Core Processor (RADV RAVEN2)	-
driver_name	radv	-
driver_info	Mesa 26.2.1-arch3.1	-
device_api_version	1.4.354	-
spirv_capabilities	Shader,Int8,GroupNonUniform,GroupNonUniformArithmetic,StorageBuffer16BitAccess,StorageBuffer8BitAccess	-
features_enabled	shaderInt8,storageBuffer16BitAccess,storageBuffer8BitAccess,subgroupSizeControl,computeFullSubgroups	-
robust_buffer_access	off	-
spec_constants	0:64,1:8,2:1	-
bindings	5	-
push_constant_bytes	52	-
subgroup_size_requested	64	-
subgroup_size_min	64	-
subgroup_size_max	64	-
environment_names	GGML_VK_LOW_PRIORITY,GGML_VK_MAX_NODES_PER_SUBMIT,RADV_DEBUG,VK_DRIVER_FILES,VK_ICD_FILENAMES	-
per_superblock_divisor	256	-
vgprs	64	-
sgprs	48	-
spilled_vgprs	0	-
spilled_sgprs	0	-
lds	0	-
scratch	0	-
code_size	11036	-
waves_per_simd	-	-
instruction_lines	2314	9.0391
valu	1454	5.6797
salu	668	2.6094
vmem	72	0.2812
smem	70	0.2734
lds_instructions	0	0.0000
waitcnt	119	0.4648
barrier	0	0.0000
v_cvt_f32_ubyte	384	1.5000
v_bfe	18	0.0703
v_lshrrev_b32	56	0.2188
v_lshlrev_b32	24	0.0938
v_and_b32	100	0.3906
v_perm_b32	0	0.0000
v_alignbyte_b32	0	0.0000
v_bfi_b32	0	0.0000
v_add_u32	74	0.2891
sdwa_operand_uses	48	0.1875
dpp_uses	64	0.2500
v_mul_lo_u32	0	0.0000
v_mad_u32_u24	0	0.0000
v_mad_i32_i24	0	0.0000
v_mul_u32_u24	0	0.0000
v_mul_i32_i24	0	0.0000
v_add3_u32	0	0.0000
v_fma_f32	0	0.0000
v_mac_f32	304	1.1875
v_mad_mix_f32	0	0.0000
v_pk_fma_f16	0	0.0000
v_cvt_f32_f16	32	0.1250
