repeat	decode_tok_per_second	decode_ms	prompt_n	predicted_n	tokens_sha256
01	3.448239246939578	18270.194	7	64	dfd8c3bdef924247a1e0e20bc77abe127daf332e1adaa3e5ceffc8c33fe134ad
02	3.4254323344174553	18391.839	7	64	dfd8c3bdef924247a1e0e20bc77abe127daf332e1adaa3e5ceffc8c33fe134ad
03	3.400451407225538	18526.952	7	64	dfd8c3bdef924247a1e0e20bc77abe127daf332e1adaa3e5ceffc8c33fe134ad
04	3.4312353743592166	18360.734	7	64	dfd8c3bdef924247a1e0e20bc77abe127daf332e1adaa3e5ceffc8c33fe134ad
