slot	arm	tok_s	sclk_mode_mhz	mclk_mode_mhz	temp_mean_c	temp_max_c	busy_mean_percent	samples
2	P	9.542	1100	1067	76.6	82.0	93.79	729
3	P	9.485	1100	1067	74.25	76.0	93.66	731
6	P	9.277	1100	1067	76.05	78.0	92.43	750
7	P	9.470	1100	1067	76.59	79.0	94.04	735
9	P	9.087	1100	1067	75.56	79.0	93.98	764
10	I0	8.216	942	1067	74.31	78.0	94.16	837
11	I0	7.630	837	1067	73.36	78.0	95.25	895
12	P	7.375	775	1067	72.31	77.0	95.1	928
13	P	7.302	775	1067	72.33	78.0	95.55	932
14	I0	7.225	800	1067	71.43	76.0	94.63	945
15	I0	7.210	837	1067	71.39	76.0	94.48	940
16	P	7.293	812	1067	71.38	76.0	95.37	928
17	I0	7.467	825	1067	71.48	76.0	94.36	914
18	I1	7.093	812	1067	71.12	76.0	95.59	964
19	I1	7.040	787	1067	71.15	76.0	94.77	968
20	I0	7.208	800	1067	71.58	76.0	94.66	941
21	I0	7.201	775	1067	71.28	76.0	94.88	946
22	I1	7.133	825	1067	71.33	76.0	94.74	954
23	I1	7.255	825	1067	71.26	76.0	94.94	939
24	I0	7.278	800	1067	71.61	76.0	94.45	935
25	S	2.405	400	1067	73.49	80.0	56.96	2728
