slot	arm	server_sha256	predicted_n	predicted_ms	tok_s	census_rows	sidecar	ownership	status
0	W	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6591.745	9.557	-	off	-	completed
1	P-nosidecar	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6611.131	9.529	-	off	-	completed
2	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6602.347	9.542	-	on	-	completed
3	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6641.812	9.485	-	on	-	completed
4	P-nosidecar	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6632.935	9.498	-	off	-	completed
5	P-nosidecar	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6678.673	9.433	-	off	-	completed
6	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6790.635	9.277	-	on	-	completed
7	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6652.584	9.470	-	on	-	completed
8	P-nosidecar	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6603.124	9.541	-	off	-	completed
9	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	6933.034	9.087	-	on	-	completed
10	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	7668.260	8.216	-	on	-	completed
11	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	8257.045	7.630	-	on	-	completed
12	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	8542.325	7.375	-	on	-	completed
13	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	8628.190	7.302	-	on	-	completed
14	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	8719.524	7.225	-	on	-	completed
15	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	8737.691	7.210	-	on	-	completed
16	P	5dd86b90154f6143a5303efd2590b9268a0a5e3e908c4d6791f1fde03a4782c2	64	8638.659	7.293	-	on	-	completed
17	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	8437.490	7.467	-	on	-	completed
18	I1	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	8881.796	7.093	43608	on	conclusive	completed
19	I1	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	8949.216	7.040	43608	on	conclusive	completed
20	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	8739.913	7.208	-	on	-	completed
21	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	8749.038	7.201	-	on	-	completed
22	I1	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	8832.142	7.133	43608	on	conclusive	completed
23	I1	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	8684.113	7.255	43608	on	conclusive	completed
24	I0	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	8656.804	7.278	-	on	-	completed
25	S	addcae10bc3683a5700a981e4239061e719ecce92dc11ee436f96337b39f9a22	64	26195.296	2.405	64	on	-	completed
