key	value
schema	package-energy-window-v1
clock	CLOCK_MONOTONIC
window_begin_ns	503130847461779
window_end_ns	503134485934541
window_s	3.638473
sample_count	221
sample_period_ns	50000000
unreadable_count	0
inner_begin_ns	503130896468084
inner_end_ns	503134450196545
inner_interval_s	3.553728
inner_package_joules	60.710133
inner_core_joules	6.479493
inner_package_watts	17.083504
inner_core_watts	1.823294
outer_begin_ns	503130846441263
outer_end_ns	503134496480783
outer_interval_s	3.650040
outer_package_joules	61.914813
outer_core_joules	6.622613
outer_package_watts	16.962779
outer_core_watts	1.814395
window_coverage	bracketed
