monitor_start_utc=2026-09-04T04:30:14Z server_pid=3176550 sample_seconds=1 profile=low-async latency_watchdog_pid=3177111 kernel_hazard_watchdog_pid=3177120 guard_affinity=1 guard_nice=0
threshold_mem_available_kib=4194304 threshold_swapin_bytes_per_sample=67108864 report_temperature_millicelsius=90000
threshold_maximum_gpu_busy_percent=100 enforcement=terminate_on_sample_above_threshold
sample_utc=2026-09-04T04:30:14Z affinity=0 nice=19 rss_kib=177004 peak_rss_kib=177004 mem_available_kib=26120888 swapin_bytes=0 max_temp_millicelsius=73000 gpu_busy_percent=12 gtt_used_bytes=1202749440 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 400Mhz *;2: 1100Mhz ; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:30:15Z affinity=0 nice=19 rss_kib=177720 peak_rss_kib=177720 mem_available_kib=26125680 swapin_bytes=0 max_temp_millicelsius=72000 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:30:16Z affinity=0 nice=19 rss_kib=180768 peak_rss_kib=180768 mem_available_kib=26121592 swapin_bytes=0 max_temp_millicelsius=71000 gpu_busy_percent=98 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:30:17Z affinity=0 nice=19 rss_kib=180768 peak_rss_kib=180768 mem_available_kib=26122452 swapin_bytes=0 max_temp_millicelsius=70000 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:30:18Z affinity=0 nice=19 rss_kib=180768 peak_rss_kib=180768 mem_available_kib=26122144 swapin_bytes=0 max_temp_millicelsius=69500 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:30:19Z affinity=0 nice=19 rss_kib=180768 peak_rss_kib=180768 mem_available_kib=26121988 swapin_bytes=0 max_temp_millicelsius=69625 gpu_busy_percent=97 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:30:21Z affinity=0 nice=19 rss_kib=180768 peak_rss_kib=180768 mem_available_kib=26121512 swapin_bytes=0 max_temp_millicelsius=70000 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:30:22Z affinity=0 nice=19 rss_kib=180768 peak_rss_kib=180768 mem_available_kib=26121200 swapin_bytes=0 max_temp_millicelsius=70375 gpu_busy_percent=97 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:30:23Z affinity=0 nice=19 rss_kib=180768 peak_rss_kib=180768 mem_available_kib=26121320 swapin_bytes=0 max_temp_millicelsius=70875 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:30:24Z affinity=0 nice=19 rss_kib=180768 peak_rss_kib=180768 mem_available_kib=26120928 swapin_bytes=0 max_temp_millicelsius=71125 gpu_busy_percent=98 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
sample_utc=2026-09-04T04:30:25Z affinity=0 nice=19 rss_kib=180768 peak_rss_kib=180768 mem_available_kib=26120616 swapin_bytes=0 max_temp_millicelsius=71250 gpu_busy_percent=99 gtt_used_bytes=1203732480 vram_used_bytes=2097283072 sclk=0: 200Mhz ;1: 700Mhz ;2: 1100Mhz *; mclk=0: 0Mhz ;1: 400Mhz ;2: 933Mhz *;3: 1067Mhz ;
