subject	path	expected_bytes	observed_bytes	expected_sha256	observed_sha256	state
validated_tuples	$HOME/Github/qwen-apu/remote/validated-tuples.tsv	10129	10129	92a68508781ba9426c3a4ba0e54faf634ec5ce797c320dc34af47851a65fab10	92a68508781ba9426c3a4ba0e54faf634ec5ce797c320dc34af47851a65fab10	accepted
ctx_checkpoints	$HOME/Github/qwen-apu/remote/ctx-checkpoints.tsv	1553	1553	b8644d874a0e34b7e3be8e4d673961805991b30396edd2c84467c0b4261f419a	b8644d874a0e34b7e3be8e4d673961805991b30396edd2c84467c0b4261f419a	accepted
launch_script	$HOME/Github/qwen-apu/remote/qwen-launch.sh	47493	47493	7beafe2f6267bced8d6fb092eb2a627cb676cca4c4b9f877169f7f559e4f1347	7beafe2f6267bced8d6fb092eb2a627cb676cca4c4b9f877169f7f559e4f1347	accepted
teardown_script	$HOME/Github/qwen-apu/remote/qwen-teardown.sh	13740	13740	ee6d4eb8b3518cd61cd09a2b5d020bd90bf821f00b7d90bea2012486bfb81b21	ee6d4eb8b3518cd61cd09a2b5d020bd90bf821f00b7d90bea2012486bfb81b21	accepted
server	$HOME/Github/qwen-apu/.runtime/opt/llama.cpp/build-raven2-vulkan-production/bin/llama-server	57732160	57732160	70aa78bc0eed708ce8d06b690467affce3bb222014714af4dbd92e00fa5ff010	70aa78bc0eed708ce8d06b690467affce3bb222014714af4dbd92e00fa5ff010	accepted
radv_icd	/usr/share/vulkan/icd.d/radeon_icd.x86_64.json	194	194	3b12c6fe10fd12062acd8763bccb823642e9b53c83579157ddb75581ab4b8410	3b12c6fe10fd12062acd8763bccb823642e9b53c83579157ddb75581ab4b8410	accepted
latency_probe	$HOME/Github/qwen-apu/build/vulkan-graphics-service-probe	26248	26248	ac437dd158fb7d4b48df4a4c3b1656a590c2b39e129bba0436d0559bce21d430	ac437dd158fb7d4b48df4a4c3b1656a590c2b39e129bba0436d0559bce21d430	accepted
model:qwen35-08b	$HOME/Github/qwen-apu/.runtime/models/Qwen3.5-0.8B-GGUF/Qwen3.5-0.8B-Q8_0.gguf	833592096	833592096	37ae482d336108d23516fa35e8e0c4126688d81018b87178a18d752a1357814f	37ae482d336108d23516fa35e8e0c4126688d81018b87178a18d752a1357814f	accepted
model:qwen38-2b-distill	$HOME/Github/qwen-apu/.runtime/models/Qwen3.8-2B-Distill-GGUF/Qwen3.8-2B-Q4_K_M.gguf	1312164224	1312164224	4aa0fb13c431514262f259d420ecc95a8714df58ac2a2384514e20b93983f0ff	4aa0fb13c431514262f259d420ecc95a8714df58ac2a2384514e20b93983f0ff	accepted
model:qwen38-4b-distill	$HOME/Github/qwen-apu/.runtime/models/Qwen3.8-4B-Distill-GGUF/Qwen3.8-4B-Q4_K_M.gguf	2783446304	2783446304	dec96e8cf2e11b613bb46513dec485377f9ca5a351e71712ee0e244f287c6790	dec96e8cf2e11b613bb46513dec485377f9ca5a351e71712ee0e244f287c6790	accepted
