model_id	role	target_tok_s	arms	arms_meeting_target	minimum_tok_s	mean_tok_s	median_tok_s	maximum_tok_s	span_percent	target_state
qwen35-08b	compact-text	20	4	0	16.78559124847231136792177595	17.471630079019	17.685974723180	17.72897962124145632029681126	5.399544110	unmet
qwen38-2b-distill	fast-text	10	4	0	9.513548123075110972518681664	9.565593905630	9.560367371047	9.628092757351278060541447258	1.197464950	unmet
qwen38-4b-distill	balanced-text	5.25	4	0	3.342408946281174794140767728	3.350103046377	3.350143780179	3.357715678869351602717639136	0.456903336	unmet
